Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-07-09,131,NABIL,Nabil Bank Limited,500,500,495.2,499.01,42721,21258926.6,495.46,700,474.1,2025-07-09T14:59:51.642576,499,361,497.62,135017.13
2,2025-07-09,132,NIMB,Nepal Investment Mega Bank Limited,211.2,216.9,211.2,215.93,93032,19968542.7,213.18,295,158,2025-07-09T14:59:58.8169,215.9,380,214.64,73693.87
3,2025-07-09,133,SCB,Standard Chartered Bank Limited,644,644,636.2,643.08,35636,22860936.8,635.82,790,584,2025-07-09T14:59:35.631516,642.5,178,641.51,64580.46
4,2025-07-09,134,HBL,Himalayan Bank Limited,221,230,216.3,223.46,120054,26670618.6,220.64,312.1,186.4,2025-07-09T14:59:42.802783,224.4,329,222.15,48393.87
5,2025-07-09,135,SBI,Nepal SBI Bank Limited,405.1,412.9,405.1,411.54,38878,15901532,407.66,549,307,2025-07-09T14:59:49.734476,412.9,122,409.01,44854.4
6,2025-07-09,137,EBL,Everest Bank Limited,665,665,656,660.66,64837,42820684.3,657.54,790,540,2025-07-09T14:58:50.344603,663,210,660.43,85520.42
7,2025-07-09,139,NICA,NIC Asia Bank Ltd.,350,365,347.4,360.46,164992,58850780.4,346.83,573,333,2025-07-09T14:59:58.547436,362,628,356.68,53771.86
8,2025-07-09,140,MBL,Machhapuchhre Bank Limited,230,233,226.6,232.76,110345,25479374.1,226.32,295,184,2025-07-09T14:59:55.234787,233,294,230.9,27049.87
9,2025-07-09,141,LSL,Laxmi Sunrise Bank Limited,216.1,225,216,223.17,151506,33303238.6,217.2,300,161,2025-07-09T14:59:37.686879,223.5,330,219.81,54334.11
10,2025-07-09,142,KBL,Kumari Bank Limited,206.2,213,206,212.31,238016,49976935.9,207.78,272.9,140.7,2025-07-09T14:59:58.531822,212.7,650,209.97,55680.13
11,2025-07-09,145,SBL,Siddhartha Bank Limited,340,344.4,338,343.48,249257,84849430.3,338.15,380,261,2025-07-09T14:59:58.821049,344.3,339,340.4,48396.26
12,2025-07-09,147,SHL,Soaltee Hotel Limited,565,569.9,553.7,564.13,75423,42666346.4,564.25,636.5,431.5,2025-07-09T14:59:48.276556,563,203,565.69,57646.34
