Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-01-22,131,NABIL,Nabil Bank Limited,498,498,492.3,493.1,63230,31254327.7,496.1,562,471,2026-01-22T14:59:44.476361,493.1,531,494.29,133418.06
2,2026-01-22,132,NIMB,Nepal Investment Mega Bank Limited,198,198,192.2,196,65476,12688771.3,195,247,187,2026-01-22T14:58:53.604673,196,255,193.79,66892.05
3,2026-01-22,133,SCB,Standard Chartered Bank Limited,634.6,642.5,628,631,54460,34356032.7,638,701,594.9,2026-01-22T14:59:35.653742,631,174,630.84,63367.34
4,2026-01-22,134,HBL,Himalayan Bank Limited,191,194,191,193.8,57526,11059987.9,193.9,261,184,2026-01-22T14:59:57.934475,193.8,1378,192.26,43763.26
5,2026-01-22,135,SBI,Nepal SBI Bank Limited,414,415,407.9,415,22387,9189204.4,415.1,452,363,2026-01-22T14:59:57.949803,415,72,410.47,47040.77
6,2026-01-22,137,EBL,Everest Bank Limited,668,675,668,671,19126,12853004.6,673,780.6,588,2026-01-22T14:59:32.52779,671,157,672.01,92070.43
7,2026-01-22,139,NICA,NIC Asia Bank Ltd.,347.9,347.9,337,341.9,71540,24282898.9,342,428.4,304.5,2026-01-22T14:59:56.951218,341.9,305,339.43,51003.16
8,2026-01-22,140,MBL,Machhapuchhre Bank Limited,234.6,234.6,226.4,230,38213,8749232.4,230,272.1,205,2026-01-22T14:59:31.759322,230,126,228.95,27798.29
9,2026-01-22,141,LSL,Laxmi Sunrise Bank Limited,223.3,223.3,217.7,219.5,50893,11133293.5,219,252,201,2026-01-22T14:59:53.882145,219.5,111,218.75,58784.65
10,2026-01-22,142,KBL,Kumari Bank Limited,188,188,181.5,184.8,139385,25683703.1,185.9,233.5,175.5,2026-01-22T14:59:55.977766,184.8,407,184.26,48465.39
11,2026-01-22,145,SBL,Siddhartha Bank Limited,399,399,387.2,392,80907,31580671.1,392,416,261,2026-01-22T14:59:53.656521,392,146,390.33,57994.36
12,2026-01-22,147,SHL,Soaltee Hotel Limited,500,510,495,501.8,17717,8889773.6,502,619,464,2026-01-22T14:57:46.225606,501.8,72,501.76,58968.63
13,2026-01-22,148,TRH,Taragaon Regency Hotel Limited,760.2,762,746.1,758,4363,3295234.5,773,1247,681.1,2026-01-22T14:58:09.682377,758,60,755.26,14872.87
14,2026-01-22,149,OHL,Oriental Hotels Limited,715.5,732,710.5,731.8,5912,4282288,719,1100,633.1,2026-01-22T14:58:43.143337,731.8,40,724.33,8668.13
15,2026-01-22,152,NHPC,National Hydro Power Company Limited,207.2,215,207.2,214.1,343468,72940707.8,205.1,244.5,178.6,2026-01-22T14:59:56.791364,214.1,922,212.36,5280.64
16,2026-01-22,153,BPCL,Butwal Power Company Limited,790,814.5,790,795,187348,149989095.3,806,1065,380.7,2026-01-22T14:59:49.111885,795,565,800.59,27102.06
17,2026-01-22,154,CHCL,Chilime Hydropower Company Limited,476.8,476.8,473.1,473.1,28659,13596067.3,476.8,599.6,456,2026-01-22T14:59:51.953678,473.1,207,474.4,44873.48
18,2026-01-22,155,STC,Salt Trading Corporation,5618,5640,5580,5580,2564,14352001,5618,5800,4832,2026-01-22T14:59:49.539227,5580,64,5597.5,17896.01
19,2026-01-22,156,BBC,Bishal Bazar Company Limited,4820,4932,4801,4801,1078,5222173,4860,6661.6,4480,2026-01-22T14:59:42.877658,4801,72,4844.31,192520.1
20,2026-01-22,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,725,730,716,730,7166,5159858.7,729,854.4,650,2026-01-22T14:58:59.683245,730,44,720.04,20021.59
21,2026-01-22,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,948,959,937,959,15234,14409809.8,945,1144.8,821.5,2026-01-22T14:59:31.268528,959,177,945.89,34689.56
22,2026-01-22,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,841.4,850,841.3,850,4282,3622446,841.3,1010,759,2026-01-22T14:59:19.205381,850,59,845.97,17468.47
23,2026-01-22,171,SANIMA,Sanima Bank Limited,344,344.5,341,341.1,47778,16348372.7,344,391,285,2026-01-22T14:59:26.952148,341.1,178,342.17,46326.58
