Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-09-03,131,NABIL,Nabil Bank Limited,520,529,519,519.88,34096,17740832,523.75,622.2,474.1,2025-09-03T14:59:57.437048,521,354,520.32,140663.92
2,2025-09-03,132,NIMB,Nepal Investment Mega Bank Limited,208,211,207.6,209.38,101482,21204024.7,208.78,264.9,201,2025-09-03T14:59:52.882477,209,320,208.94,71458.45
3,2025-09-03,133,SCB,Standard Chartered Bank Limited,668.8,668.8,653,654.46,20734,13640432.2,661.75,779.2,597.1,2025-09-03T14:59:59.617716,654,134,657.87,65723.28
4,2025-09-03,134,HBL,Himalayan Bank Limited,204,204.2,200.1,202.56,175909,35581269.7,202.43,286,198,2025-09-03T14:59:59.300052,202.6,12804,202.27,45741.42
5,2025-09-03,135,SBI,Nepal SBI Bank Limited,391,397.8,389,390.92,12725,5003342.7,396.48,549,372.2,2025-09-03T14:59:51.551965,389.2,66,393.18,42606.99
6,2025-09-03,137,EBL,Everest Bank Limited,760,762,748.2,750.39,74732,56279892.4,761.41,780.6,567,2025-09-03T14:59:58.476335,749.5,427,753.08,97135.69
7,2025-09-03,139,NICA,NIC Asia Bank Ltd.,346.5,346.8,344,344.79,22544,7786264.7,345.15,507.9,333,2025-09-03T14:59:35.719321,345.5,191,345.38,51434.28
8,2025-09-03,140,MBL,Machhapuchhre Bank Limited,252.1,253,250,251.04,77042,19367494.4,251.01,290,208.6,2025-09-03T14:59:59.366187,251.1,177,251.38,29174.26
9,2025-09-03,141,LSL,Laxmi Sunrise Bank Limited,227.7,237.5,227.7,233.25,98326,23044862.6,232.28,274.9,201,2025-09-03T14:59:42.715947,234,208,234.37,56788.24
10,2025-09-03,142,KBL,Kumari Bank Limited,199,201.4,197,197.58,175097,34725832,197.79,253.5,192.1,2025-09-03T14:59:59.629868,197.8,554,198.32,51817.06
11,2025-09-03,145,SBL,Siddhartha Bank Limited,392,392,380,381.76,197617,76268417.4,389.22,408,261,2025-09-03T14:59:58.492288,380,248,385.94,53789.91
12,2025-09-03,147,SHL,Soaltee Hotel Limited,558.1,564.5,555,557.34,44279,24769100.6,563.3,619,455,2025-09-03T14:59:57.295904,557,193,559.38,56952.5
13,2025-09-03,148,TRH,Taragaon Regency Hotel Limited,920,944.9,920,925.16,4180,3884415.6,927.93,1446.1,898,2025-09-03T14:59:08.165949,925.1,48,929.28,18152.75
14,2025-09-03,149,OHL,Oriental Hotels Limited,834.2,840,818.4,820.33,21458,17752694.6,844.05,1140,818.4,2025-09-03T14:59:45.547398,820.4,208,827.32,9716.77
15,2025-09-03,152,NHPC,National Hydro Power Company Limited,207.6,207.6,203.2,203.44,57793,11809117.5,203.54,260,195.2,2025-09-03T14:59:52.941545,203.3,197,204.33,5017.72
16,2025-09-03,153,BPCL,Butwal Power Company Limited,808.1,818,797.1,799.35,105950,85244809.2,808.1,1065,375.1,2025-09-03T14:59:58.560707,800,379,804.57,27250.36
17,2025-09-03,154,CHCL,Chilime Hydropower Company Limited,501,507.9,501,504.28,33681,16965765.1,504.71,610,469.7,2025-09-03T14:59:52.83752,504,186,503.71,44287.87
