Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-07-27,131,NABIL,Nabil Bank Limited,553,568,553,560,155380,87108157.9,553.1,563,471,2026-07-27T14:59:52.662622,560,975,560.61,151519.19
2,2026-07-27,132,NIMB,Nepal Investment Mega Bank Limited,194,213,194,203,460463,95284892.3,204.2,247,184,2026-07-27T14:59:58.262306,203,954,206.93,69281.05
3,2026-07-27,133,SCB,Standard Chartered Bank Limited,618.5,662,618.5,654,17457,11451646.1,651,712.6,594.9,2026-07-27T14:59:28.471978,654,93,655.99,65677.09
4,2026-07-27,134,HBL,Himalayan Bank Limited,206,210,201.4,201.9,92763,19119967.8,206,250.9,184,2026-07-27T14:59:58.411862,201.9,1096,206.11,45592.38
5,2026-07-27,135,SBI,Nepal SBI Bank Limited,410,417.9,410,415,58278,24134925.6,413.5,451.4,363,2026-07-27T14:59:57.495926,415,168,414.13,47040.77
6,2026-07-27,137,EBL,Everest Bank Limited,732.9,732.9,720,726,58133,42328424.4,724,780.6,619,2026-07-27T14:59:40.486435,726,257,728.13,99617.19
7,2026-07-27,139,NICA,NIC Asia Bank Ltd.,344,353.5,337,340,138033,47617496.7,344.2,412,304.5,2026-07-27T14:59:59.551578,340,374,344.97,50719.73
8,2026-07-27,140,MBL,Machhapuchhre Bank Limited,259,265.5,257.9,260.5,289999,76083702.1,259.9,284,205,2026-07-27T14:59:53.646064,260.5,598,262.35,31484.58
9,2026-07-27,141,LSL,Laxmi Sunrise Bank Limited,218.8,235,218.8,229.7,261979,60497252.5,230.3,252,203,2026-07-27T14:59:58.043528,229.7,472,230.92,61516.33
10,2026-07-27,142,KBL,Kumari Bank Limited,228.2,235,221.2,223.2,752797,172226303.2,228.2,256,175.5,2026-07-27T14:59:59.946996,223.2,1551,228.78,58536.12
11,2026-07-27,145,SBL,Siddhartha Bank Limited,410,416.1,407.2,409,122070,50399573.9,410,424,320.5,2026-07-27T14:59:55.390036,409,369,412.87,60509.42
12,2026-07-27,147,SHL,Soaltee Hotel Limited,502,505.5,499.1,502,25899,13011503.2,503,619,464,2026-07-27T14:59:58.232684,502,76,502.39,58992.66
13,2026-07-27,148,TRH,Taragaon Regency Hotel Limited,785,785,770,771,767,594629,785,1086.3,681.1,2026-07-27T14:58:30.20438,771,10,775.26,15127.95
14,2026-07-27,149,OHL,Oriental Hotels Limited,692,692,672,673.1,571,385678.1,692,940,633.1,2026-07-27T14:59:56.707599,673.1,12,675.44,7972.84
15,2026-07-27,152,NHPC,National Hydro Power Company Limited,272,282,267,269.9,315028,86132254.1,280.4,340,178.6,2026-07-27T14:59:58.289524,269.9,876,273.41,6656.92
16,2026-07-27,153,BPCL,Butwal Power Company Limited,645.1,677,645.1,665,17921,11843090.7,665,1053,612,2026-07-27T14:59:58.17766,665,90,660.84,22670.28
17,2026-07-27,154,CHCL,Chilime Hydropower Company Limited,495,499.5,494,496.9,56689,28165580.5,494.2,583,450.3,2026-07-27T14:59:59.879835,496.9,242,496.84,47130.91
18,2026-07-27,155,STC,Salt Trading Corporation,5210,5210,5150,5200,1345,6995148.8,5175,6335.9,4832,2026-07-27T14:58:55.788343,5200,16,5200.85,18261.63
19,2026-07-27,156,BBC,Bishal Bazar Company Limited,4349,4377,4264,4265,102,439668.9,4375,6120,4021.1,2026-07-27T14:59:58.153499,4265,12,4310.47,171026.5
20,2026-07-27,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,633,639,623,623.1,5929,3724323.2,640.6,835.3,582.2,2026-07-27T14:59:57.971377,623.1,42,628.15,17089.66
21,2026-07-27,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,932,945,932,937,21752,20466404.7,938,1144.8,882,2026-07-27T14:59:34.004086,937,202,940.89,33893.77
22,2026-07-27,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,853,854,841.2,844,3955,3353175.1,854,1010,793,2026-07-27T14:59:05.884732,844,57,847.83,17345.16
23,2026-07-27,171,SANIMA,Sanima Bank Limited,390.6,390.6,372.2,373,225720,84951082.1,372,391,295,2026-07-27T14:59:54.915844,373,695,376.35,50659.09
24,2026-07-27,172,NABBC,Narayani Development Bank Limited,800,819,776,782,17891,14298481.7,786,1835,662,2026-07-27T14:59:57.594592,782,179,799.19,4104.99
