Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-07-10,131,NABIL,Nabil Bank Limited,534,534,527,527.8,53475,28320509.5,528.6,563,471,2026-07-10T14:59:52.519664,527.8,377,529.6,142806.84
2,2026-07-10,132,NIMB,Nepal Investment Mega Bank Limited,198.1,198.1,189.5,190.3,91492,17427267.1,191,247,184,2026-07-10T14:59:48.461406,190.3,284,190.47,64946.72
3,2026-07-10,133,SCB,Standard Chartered Bank Limited,650,650,635.2,638,18019,11539965.6,642,712.6,594.9,2026-07-10T14:58:02.550938,638,124,640.43,64070.31
4,2026-07-10,134,HBL,Himalayan Bank Limited,190,197,190,192.8,42614,8245293.7,194,261,184,2026-07-10T14:59:59.580347,192.8,496,193.48,43537.45
5,2026-07-10,135,SBI,Nepal SBI Bank Limited,392,392,386.3,390.9,9092,3538474.5,388.3,452,363,2026-07-10T14:59:56.164126,390.9,40,389.18,44309
6,2026-07-10,137,EBL,Everest Bank Limited,705,705,695,695,34233,23872406.1,697,780.6,619,2026-07-10T14:59:57.939333,695,193,697.35,95363.56
7,2026-07-10,139,NICA,NIC Asia Bank Ltd.,313.5,336,313.5,326.7,65546,21529034.9,329.9,428.4,304.5,2026-07-10T14:59:54.881943,326.7,206,328.45,48735.69
8,2026-07-10,140,MBL,Machhapuchhre Bank Limited,233,248,233,245.3,81586,19996744.4,245,284,205,2026-07-10T14:59:58.607388,245.3,157,245.1,29647.48
9,2026-07-10,141,LSL,Laxmi Sunrise Bank Limited,227.8,227.8,213.1,218,100709,21931892.1,217.1,252,203,2026-07-10T14:59:55.408159,218,143,217.77,58382.94
10,2026-07-10,142,KBL,Kumari Bank Limited,210,212,209.2,210.4,81682,17191252.8,209,256,175.5,2026-07-10T14:59:58.801514,210.4,326,210.46,55179.21
11,2026-07-10,145,SBL,Siddhartha Bank Limited,390,390,387.2,389.9,76400,29696143.6,388.3,424,320.5,2026-07-10T14:59:46.923844,389.9,153,388.69,57683.67
12,2026-07-10,147,SHL,Soaltee Hotel Limited,497.8,500,489,490.5,16511,8107934.4,492,619,464,2026-07-10T14:59:59.002871,490.5,43,491.06,57641.23
13,2026-07-10,148,TRH,Taragaon Regency Hotel Limited,780,780,766,775,16690,12958594,770,1086.3,681.1,2026-07-10T14:58:04.020748,775,21,776.42,15206.43
14,2026-07-10,149,OHL,Oriental Hotels Limited,669,688,667,684.5,940,633170,669,948,633.1,2026-07-10T14:59:41.061122,684.5,18,673.58,8107.87
15,2026-07-10,152,NHPC,National Hydro Power Company Limited,256,257.7,251,253,148326,37682758.3,253,340,178.6,2026-07-10T14:59:58.001505,253,395,254.05,6240.09
16,2026-07-10,153,BPCL,Butwal Power Company Limited,653,658,636,650,19571,12656601,650,1065,617.5,2026-07-10T14:59:57.869148,650,132,646.7,22158.92
17,2026-07-10,154,CHCL,Chilime Hydropower Company Limited,477,480,475.1,478,37671,17994394.8,477,584,450.3,2026-07-10T14:59:30.622863,478,130,477.67,45338.25
18,2026-07-10,155,STC,Salt Trading Corporation,5179,5181,5040,5145,1427,7267906.5,5190,6335.9,4832,2026-07-10T14:59:19.484866,5145,28,5093.13,18068.48
19,2026-07-10,156,BBC,Bishal Bazar Company Limited,4195,4198.9,4100,4168,205,847833,4101,6120,4100,2026-07-10T14:55:16.165225,4168,20,4135.77,167136.8
20,2026-07-10,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,617,617,601,608,1771,1069684.7,606,854.4,600.1,2026-07-10T14:59:58.915895,608,33,604,16675.52
21,2026-07-10,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,910,914.5,910,911,10358,9438657,912,1144.8,882,2026-07-10T14:59:59.874933,911,148,911.24,32953.28
22,2026-07-10,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,829,829,813.1,820,6310,5157375.5,819.1,1010,793,2026-07-10T14:59:20.833373,820,78,817.33,16851.94
23,2026-07-10,171,SANIMA,Sanima Bank Limited,353,355,348,350,173609,61015442,352.1,391,295,2026-07-10T14:59:43.34832,350,251,351.45,47535.34
24,2026-07-10,172,NABBC,Narayani Development Bank Limited,712,735.4,700.2,720,21002,15075635.5,694.4,1835,662,2026-07-10T14:59:01.863187,720,80,717.81,3779.53
25,2026-07-10,176,NICL,Nepal Insurance Co. Ltd.,505,535,505,509.1,20350,10455732.8,513,699.9,475,2026-07-10T14:59:24.020352,509.1,94,513.79,12974.8
26,2026-07-10,177,RBCL,Rastriya Beema Company Limited,14250,14499,14151,14492,100,1425460,14201,16900,14015,2026-07-10T14:41:58.760784,14492,7,14254.6,38640.96
27,2026-07-10,178,NLICL,National Life Insurance Co. Ltd.,580,622,568.1,573,74867,44053596.2,570.2,691,539,2026-07-10T14:59:33.026769,573,76,588.42,32613.15
28,2026-07-10,179,HEI,Himalayan Everest Insurance Limited,518,533,510,510,16277,8380396,518,654,458,2026-07-10T14:50:45.743427,510,54,514.86,12750.8
29,2026-07-10,180,UAIL,United Ajod Insurance Limited,434,438,421,433,11356,4865957.5,433,625,422.1,2026-07-10T14:58:20.500885,433,88,428.49,11474.07
30,2026-07-10,182,SPIL,Siddhartha Premier Insurance Limited,694,694,685,686.5,787,540184.8,694,894.5,625,2026-07-10T14:55:07.416503,686.5,14,686.38,19266.97
31,2026-07-10,183,NIL,Neco Insurance Limited,625,625,608.3,614.9,4517,2756886.7,611.2,783.9,562,2026-07-10T14:59:57.412355,614.9,37,610.33,17046.74
32,2026-07-10,184,PRIN,Prabhu Insurance Ltd.,681,689,675.5,683,17699,12095943.3,680.1,960.3,630,2026-07-10T14:58:49.408269,683,42,683.42,12628.25
33,2026-07-10,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,609.7,609.7,580.2,591.9,4171,2455659.4,592,765.9,570.1,2026-07-10T14:58:50.458442,591.9,32,588.74,15523.4
34,2026-07-10,186,IGI,IGI Prudential insurance Limited,440,440,426,427.8,8062,3443522.4,429.5,600,392,2026-07-10T14:59:57.169866,427.8,35,427.13,12959.49
35,2026-07-10,187,NLIC,Nepal Life Insurance Co. Ltd.,750,750,738.3,741,24299,18132908.9,739.9,890,702,2026-07-10T14:59:41.723933,741,153,746.24,70248.29
36,2026-07-10,188,LICN,Life Insurance Corporation (Nepal) Limited,779.7,782.9,770,776,12912,9991949.3,779.7,990,773,2026-07-10T14:58:39.002294,776,110,773.84,42680
37,2026-07-10,192,SICL,Shikhar Insurance Co. Ltd.,611,615,610,612,3769,2307112.8,611,828,588.8,2026-07-10T14:59:55.600361,612,54,612.12,18981.59
38,2026-07-10,194,NFS,Nepal Finance Ltd.,575,652,567,567.1,10979,6311074.4,567,851,555,2026-07-10T14:59:51.704236,567.1,104,574.83,4757.65
39,2026-07-10,204,GUFL,Gurkhas Finance Ltd.,544,559.9,544,545,6630,3627525.8,544,644,460.6,2026-07-10T14:59:34.319865,545,53,547.13,4730.57
40,2026-07-10,210,CIT,Citizen Investment Trust,1700,1700,1680,1684,5398,9095589.8,1683,2168,1630.3,2026-07-10T14:59:54.277539,1684,136,1684.99,114609.64
