Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-07-07,131,NABIL,Nabil Bank Limited,527,545,520,534,192322,101706773.8,526,563,471,2026-07-07T14:59:48.676405,534,742,528.83,144484.37
2,2026-07-07,132,NIMB,Nepal Investment Mega Bank Limited,193,196.9,192,195.9,74983,14576091.8,193,247,184,2026-07-07T14:59:59.810591,195.9,272,194.39,66857.92
3,2026-07-07,133,SCB,Standard Chartered Bank Limited,649.9,649.9,640,646,20745,13338473.8,641,712.6,594.9,2026-07-07T14:59:02.756957,646,96,642.97,64873.7
4,2026-07-07,134,HBL,Himalayan Bank Limited,196,200,193,200,40248,7955411.8,196.5,261,184,2026-07-07T14:59:57.642495,200,708,197.65,45163.33
5,2026-07-07,135,SBI,Nepal SBI Bank Limited,393.8,395,389.1,392,27535,10774737.8,393.9,452,363,2026-07-07T14:59:59.130831,392,62,391.31,44433.69
6,2026-07-07,137,EBL,Everest Bank Limited,700,719,696,707,117031,82218404.7,696,780.6,619,2026-07-07T14:59:40.373252,707,278,702.53,97010.13
7,2026-07-07,139,NICA,NIC Asia Bank Ltd.,334,342,333,340,50145,16836978.3,334,428.4,304.5,2026-07-07T14:59:50.275539,340,186,335.76,50719.73
8,2026-07-07,140,MBL,Machhapuchhre Bank Limited,245,250,243,248,67777,16674919.7,245.6,284,205,2026-07-07T14:59:32.151555,248,168,246.02,29973.8
9,2026-07-07,141,LSL,Laxmi Sunrise Bank Limited,218,221,215.7,220.4,76065,16598014.4,215,252,203,2026-07-07T14:59:58.626572,220.4,210,218.2,59025.68
10,2026-07-07,142,KBL,Kumari Bank Limited,213.8,215,208.5,214.8,154693,32877674.7,209.1,256,175.5,2026-07-07T14:59:56.144995,214.8,470,212.53,56333.15
11,2026-07-07,145,SBL,Siddhartha Bank Limited,393.9,393.9,388,389.7,95185,37109170.1,388.4,424,320.5,2026-07-07T14:59:59.397052,389.7,161,389.86,57654.09
12,2026-07-07,147,SHL,Soaltee Hotel Limited,499.8,521,490,496,54285,27305448.6,493,619,464,2026-07-07T14:59:49.594073,496,114,503,58287.57
13,2026-07-07,148,TRH,Taragaon Regency Hotel Limited,772,780,770,780,447,346480,772.5,1086.3,681.1,2026-07-07T13:56:20.767678,780,10,775.12,15304.54
14,2026-07-07,149,OHL,Oriental Hotels Limited,690,690,673.7,689.9,304,206282.6,690,948,633.1,2026-07-07T14:59:59.719574,689.9,7,678.56,8171.83
15,2026-07-07,152,NHPC,National Hydro Power Company Limited,255,261.5,255,260,155050,40172646.9,254.5,340,178.6,2026-07-07T14:59:59.760058,260,434,259.09,6412.74
16,2026-07-07,153,BPCL,Butwal Power Company Limited,648,656,641,653.9,9422,6128025.5,648,1065,617.5,2026-07-07T14:59:57.573773,653.9,88,650.39,22291.87
17,2026-07-07,154,CHCL,Chilime Hydropower Company Limited,480,482.9,478,479.1,11937,5735276.6,479,584,450.3,2026-07-07T14:57:38.835343,479.1,117,480.46,45442.58
18,2026-07-07,155,STC,Salt Trading Corporation,5177,5177,5071.2,5175,2316,11821732,5177,6335.9,4832,2026-07-07T14:59:05.941882,5175,33,5104.37,18173.83
19,2026-07-07,156,BBC,Bishal Bazar Company Limited,4238,4238,4150,4223,623,2618055,4136,6120,4100,2026-07-07T14:49:36.734002,4223,21,4202.33,169342.3
20,2026-07-07,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,616,626,611.1,623,6328,3909020.6,618,854.4,615,2026-07-07T14:59:58.145673,623,66,617.73,17086.92
21,2026-07-07,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,912.1,930,912.1,923,21087,19380927.1,915.5,1144.8,882,2026-07-07T14:59:59.371403,923,182,919.09,33387.35
22,2026-07-07,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,826.2,832.5,825,825,6858,5667678.1,825.1,1010,793,2026-07-07T14:59:23.000119,825,59,826.43,16954.69
23,2026-07-07,171,SANIMA,Sanima Bank Limited,358,360.9,353,355,98731,35178785.9,353.2,391,295,2026-07-07T14:59:52.906575,355,167,356.3,48214.42
24,2026-07-07,172,NABBC,Narayani Development Bank Limited,750,750,735.1,750,7985,5931475.5,745,1835,662,2026-07-07T14:59:58.224255,750,47,742.82,3937.01
25,2026-07-07,176,NICL,Nepal Insurance Co. Ltd.,514,524,503.5,520.9,23477,12117368.2,519,699.9,475,2026-07-07T14:59:52.338506,520.9,60,516.13,13275.53
26,2026-07-07,177,RBCL,Rastriya Beema Company Limited,14500,14500,14500,14500,90,1305000,14200,16900,14015,2026-07-07T12:41:01.391522,14500,3,14500,38662.29
27,2026-07-07,178,NLICL,National Life Insurance Co. Ltd.,574,579.9,572,576.1,7316,4206122.8,572,691,539,2026-07-07T14:57:01.595302,576.1,34,574.92,32789.59
28,2026-07-07,179,HEI,Himalayan Everest Insurance Limited,536,542,525,541,8569,4545819.8,540.1,654,458,2026-07-07T14:51:29.183628,541,27,530.49,13525.85
29,2026-07-07,180,UAIL,United Ajod Insurance Limited,440,445,437.1,442.7,10953,4821213.9,438,625,422.1,2026-07-07T14:59:57.18969,442.7,79,440.17,11731.11
30,2026-07-07,182,SPIL,Siddhartha Premier Insurance Limited,690,693.9,685.2,693.9,7589,5229531.3,690,894.5,625,2026-07-07T14:59:14.48349,693.9,58,689.09,19474.65
31,2026-07-07,183,NIL,Neco Insurance Limited,629.9,629.9,615,616.8,6442,3982473.1,622,783.9,562,2026-07-07T14:59:13.650623,616.8,55,618.2,17099.41
32,2026-07-07,184,PRIN,Prabhu Insurance Ltd.,683,695,682,692,2927,2016794.9,689.9,960.3,630,2026-07-07T14:59:31.12908,692,31,689.03,12794.66
33,2026-07-07,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,596.3,609,596.1,602.6,4340,2621452.4,598.3,765.9,570.1,2026-07-07T14:59:43.460053,602.6,25,604.02,15804.02
34,2026-07-07,186,IGI,IGI Prudential insurance Limited,430.3,434.8,430,434,2905,1255585.6,428.2,600,392,2026-07-07T14:59:05.111044,434,29,432.21,13147.31
35,2026-07-07,187,NLIC,Nepal Life Insurance Co. Ltd.,751.5,751.8,742.4,746.9,23714,17646130.5,743.9,890,702,2026-07-07T14:59:40.879375,746.9,165,744.12,70807.63
36,2026-07-07,188,LICN,Life Insurance Corporation (Nepal) Limited,778,794,777.1,787.9,6043,4724450.6,777.4,990,773,2026-07-07T14:59:22.703071,787.9,55,781.8,43334.5
37,2026-07-07,192,SICL,Shikhar Insurance Co. Ltd.,629,629,620,621.1,2246,1395410.3,620,828,588.8,2026-07-07T14:59:08.790378,621.1,37,621.28,19263.84
38,2026-07-07,194,NFS,Nepal Finance Ltd.,604.9,607.5,585,597,12159,7227372,592,851,555,2026-07-07T14:59:54.586662,597,125,594.4,5008.5
39,2026-07-07,204,GUFL,Gurkhas Finance Ltd.,545,557,545,556.9,2660,1469821.1,550,644,460.6,2026-07-07T14:58:14.607547,556.9,35,552.56,4833.86
40,2026-07-07,210,CIT,Citizen Investment Trust,1695,1699,1690,1695,4851,8214501,1693,2168,1630.3,2026-07-07T14:59:29.578912,1695,113,1693.36,115358.28
41,2026-07-07,213,BNT,Bottlers Nepal (Terai) Limited,11650,11650,11650,11650,20,233000,11600,13205,10660,2026-07-07T14:57:53.985255,11650,1,11650,14096.5
42,2026-07-07,219,UNL,Unilever Nepal Limited,47300,47300,47300,47300,10,473000,47799.9,50724,45200,2026-07-07T14:16:46.798672,47300,1,47300,43549.11
43,2026-07-07,227,BFC,Best Finance Company Ltd.,525.09,533.9,523,529,38489,20359381.1,528,579.9,411.5,2026-07-07T14:59:56.756944,529,217,528.96,4710.34
44,2026-07-07,232,GFCL,Goodwill Finance Limited,615,633,608.4,620,10612,6537836.5,605.7,756.8,528.3,2026-07-07T14:59:58.753,620,64,616.07,5865.91
45,2026-07-07,235,HDL,Himalayan Distillery Limited,1147.1,1153,1146.5,1150,19454,22366036.2,1146,1556.1,1097.6,2026-07-07T14:59:57.447806,1150,280,1149.68,42412.95
46,2026-07-07,236,PFL,Pokhara Finance Ltd.,362,366.6,361,366,3451,1256634.5,362,475.5,351.6,2026-07-07T14:56:31.655077,366,34,364.13,3962.16
47,2026-07-07,238,NMB,NMB Bank Limited,238,240,235.2,239,60096,14255086.9,236.4,283,230,2026-07-07T14:59:12.453883,239,222,237.2,46091.25
48,2026-07-07,244,SIFC,Shree Investment Finance Co. Ltd.,540,540,531,539.7,2635,1408996.2,533,687.4,459,2026-07-07T14:59:58.01523,539.7,19,534.72,5397
49,2026-07-07,245,CFCL,Central Finance Co. Ltd.,602,641,602,628,96032,60434190.2,633.6,695,445.1,2026-07-07T14:59:59.116163,628,256,629.31,5958.94
50,2026-07-07,250,JFL,Janaki Finance Company Limited,396,397,395,396.9,2444,968253.8,395.1,558,385.4,2026-07-07T14:58:54.79806,396.9,31,396.17,2740.49
51,2026-07-07,255,PRVU,Prabhu  Bank Limited,190.5,194,190,193.7,116751,22456131.3,190.5,250.9,179.9,2026-07-07T14:59:55.481175,193.7,385,192.34,45601.8
52,2026-07-07,256,SFCL,Samriddhi Finance Company Limited,396.9,396.9,376,386.9,4897,1874528.1,378,565,359.4,2026-07-07T14:59:13.41674,386.9,47,382.79,3168.37
53,2026-07-07,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,450,468,450,465,6263,2909647.8,464.8,557,393.1,2026-07-07T14:59:58.802378,465,42,464.57,4706.62
54,2026-07-07,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,680,694.9,680,688,14440,9858862.7,692,1046.5,667,2026-07-07T14:59:43.82934,688,143,682.74,12040
55,2026-07-07,273,ICFC,ICFC Finance Limited,615.3,617,610,616,1063,652304.4,611,730.9,595,2026-07-07T14:59:47.036826,616,24,613.64,7290.18
56,2026-07-07,274,EDBL,Excel Development Bank Ltd.,560,567.5,559.2,567.5,3810,2151985,560,717.3,545,2026-07-07T14:53:24.90644,567.5,15,564.82,7092.02
57,2026-07-07,307,NTC,Nepal Doorsanchar Company Limited,848,849.7,840,848,4249,3593796.4,847,942.5,762.5,2026-07-07T14:59:38.003421,848,117,845.79,152640
58,2026-07-07,338,PROFL,Progressive Finance Limited,442,442.5,436,439,2904,1277345,439,589.2,421.4,2026-07-07T14:59:56.803307,439,24,439.85,3758.31
59,2026-07-07,341,GBIME,Global IME Bank Limited,240,250.9,240,248.5,689108,168659220.2,241,278.9,218.9,2026-07-07T14:59:55.811477,248.5,835,244.75,94717.89
60,2026-07-07,348,CZBIL,Citizens Bank International Limited,187.2,199.5,187.2,199.5,66542,13063945.8,197,240.1,183,2026-07-07T14:59:59.168106,199.5,172,196.32,30937.39
61,2026-07-07,357,PCBL,Prime Commercial Bank Ltd.,235,237,233.6,236.7,25718,6054070.2,234,290,225,2026-07-07T14:59:42.09368,236.7,120,235.4,49599.97
62,2026-07-07,358,LBBL,Lumbini Bikas Bank Ltd.,476,483,475,482,19959,9596562.1,478.9,646.3,427.3,2026-07-07T14:59:26.533399,482,66,480.81,17466.13
63,2026-07-07,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,261.2,265,261,264.8,72802,19123671.4,261.3,334,250.1,2026-07-07T14:59:59.300798,264.8,250,262.68,10698.99
64,2026-07-07,371,MDB,Miteri Development Bank Limited,579,584,575,584,4752,2756540.1,577.9,729.7,530.5,2026-07-07T14:59:29.369795,584,31,580.07,7107.87
65,2026-07-07,385,ALICL,Asian Life Insurance Co. Limited,442.8,442.8,432,435,16956,7347775.1,432,550,430,2026-07-07T14:59:23.295876,435,97,433.34,22842.79
66,2026-07-07,393,HLI,Himalayan Life Insurance Limited,325,325.8,321,324,17720,5732094.6,320.3,464,316,2026-07-07T14:59:58.634979,324,213,323.48,29624.09
67,2026-07-07,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,545,554.9,540.1,553.9,5680,3118158.7,543,807,538,2026-07-07T14:59:38.004706,553.9,65,548.97,7742.22
68,2026-07-07,397,ADBL,Agricultural Development Bank Limited,290,308.8,290,308,25330,7745029.1,303.5,344.9,285.2,2026-07-07T14:59:58.033605,308,161,305.76,44061
69,2026-07-07,401,MLBL,Mahalaxmi Bikas Bank Ltd.,357.9,357.9,350.6,356.8,4977,1765003.4,354,468.6,348.9,2026-07-07T14:59:53.199125,356.8,47,354.63,16096.25
70,2026-07-07,403,SJLIC,SuryaJyoti Life Insurance Company Limited,427,427,418.1,421,25062,10527159,420,489.9,390,2026-07-07T14:59:44.380629,421,145,420.04,21100.3
71,2026-07-07,417,GBBL,Garima Bikas Bank Limited,383.8,407,383.8,405,49746,20153548.6,404,498,367.4,2026-07-07T14:59:59.924958,405,116,405.12,24386.46
72,2026-07-07,418,JBBL,Jyoti Bikas Bank Limited,339,345,336.4,345,26329,8945293.4,335,413,295,2026-07-07T14:59:53.881206,345,84,339.75,15165.46
73,2026-07-07,450,CORBL,Corporate Development Bank Limited,1881,2150,1683,2050,88493,153129343.5,1980,3183,1431,2026-07-07T14:59:59.396047,2050,1039,1730.41,10762.5
74,2026-07-07,459,KSBBL,Kamana Sewa Bikas Bank Limited,474,476.8,470.4,476,25657,12174422.8,475,588,404.1,2026-07-07T14:59:58.719717,476,92,474.5,18382.79
75,2026-07-07,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,146,147.9,144.8,147.9,1384,200928.5,149.2,184.5,141.8,2026-07-07T14:33:38.292791,147.9,5,145.17,27076.85
76,2026-07-07,471,MPFL,Multipurpose Finance Company  Limited,607,623,607,622.8,5306,3273072,617.6,744,491,2026-07-07T14:59:54.785077,622.8,46,616.86,3800.33
77,2026-07-07,472,SADBL,Shangrila Development Bank Ltd.,405,408,400,403.5,27263,11008300.2,401.5,526.5,376,2026-07-07T14:59:56.204966,403.5,66,403.78,15066.97
78,2026-07-07,473,SHINE,Shine Resunga Development Bank Ltd.,400.1,408,398.1,407.8,12086,4862373.9,400,499,382,2026-07-07T14:59:39.783111,407.8,60,402.31,20479.61
79,2026-07-07,474,MNBBL,Muktinath Bikas Bank Ltd.,358,365.7,358,364,34542,12566026.6,364,503,340.1,2026-07-07T14:59:38.477984,364,189,363.78,29121.42
80,2026-07-07,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,759,772.6,759,764,5944,4575344.3,761,1038.8,733,2026-07-07T14:59:51.606812,764,63,769.74,10274.82
81,2026-07-07,516,MFIL,Manjushree Finance Ltd.,771,779,767,774.5,70988,54868673.5,773,938,545,2026-07-07T14:59:54.68881,774.5,139,772.92,10467.78
82,2026-07-07,517,NBL,Nepal Bank Limited,265,269.9,264.2,269.9,40931,10933104.5,265.5,313,225.4,2026-07-07T14:59:08.470003,269.9,141,267.11,39659.17
83,2026-07-07,545,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,802.1,807,800.4,805,2627,2112136.4,802.1,1155,792.2,2026-07-07T14:59:37.734635,805,39,804.01,7209.85
84,2026-07-07,559,NLG,NLG Insurance Company Ltd.,570,591.2,570,583,6055,3543547.8,577.7,976.2,547.6,2026-07-07T14:59:32.634986,583,40,585.22,15553.47
85,2026-07-07,561,SINDU,Sindhu Bikash Bank Ltd,663.1,715,663.1,712,3399,2402562.4,698,975,608,2026-07-07T14:59:56.253824,712,72,706.84,3969.09
86,2026-07-07,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,753,754.5,745,751,35157,26320626.5,749,999,745,2026-07-07T14:59:37.602444,751,169,748.65,37003.05
87,2026-07-07,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,759.5,759.5,740,751.9,551,411508,741.2,950,698,2026-07-07T14:59:21.805553,751.9,29,746.83,7559.23
88,2026-07-07,587,RLFL,Reliance Finance Ltd.,464.1,474,463,467.9,19594,9141947.5,472,558,398,2026-07-07T14:59:57.992553,467.9,112,466.56,5247.27
89,2026-07-07,591,SHPC,Sanima Mai Hydropower Ltd.,499.9,499.9,493.6,493.6,73448,36364934.2,494.1,664.9,475,2026-07-07T14:59:59.867116,493.6,122,495.11,18450.74
90,2026-07-07,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,809,825.3,800.6,818,413,336016.5,809,1223,777.7,2026-07-07T14:37:59.208698,818,21,813.59,3668.42
91,2026-07-07,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1137,1160,1136,1142,2270,2584648,1136.5,1690,1124.6,2026-07-07T14:59:56.696633,1142,24,1138.61,2921.74
92,2026-07-07,610,RIDI,Ridi Power Company Limited,307.8,335.9,307.8,335.5,233464,76837573,324,393,203.5,2026-07-07T14:59:59.239718,335.5,414,329.11,7794.85
93,2026-07-07,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,928.9,928.9,901.2,924.9,452,410253.7,924,1300.5,819.4,2026-07-07T14:59:53.992305,924.9,15,907.64,4084.93
94,2026-07-07,686,BARUN,Barun Hydropower Co. Ltd.,322,324.9,318.3,322,20307,6506057.3,319,461,292.1,2026-07-07T14:59:58.18861,322,134,320.38,3614.55
95,2026-07-07,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,681.1,700,681.1,685.1,4299,2958488.1,683.1,1008,660.8,2026-07-07T14:59:53.933558,685.1,92,688.18,5424.09
