Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-07-22,131,NABIL,Nabil Bank Limited,550,550,546,546.8,48017,26339411.4,549,563,471,2026-07-22T14:59:56.051848,546.8,382,548.54,147947.67
2,2026-07-22,132,NIMB,Nepal Investment Mega Bank Limited,196,198.8,195.3,197,61972,12205754.9,198.5,247,184,2026-07-22T14:59:36.734154,197,268,196.95,67233.33
3,2026-07-22,133,SCB,Standard Chartered Bank Limited,661,661,644,658.1,3467,2279267,663.9,712.6,594.9,2026-07-22T14:58:58.388476,658.1,53,657.41,66088.83
4,2026-07-22,134,HBL,Himalayan Bank Limited,199.2,202.4,198,200.9,29548,5909795.7,202,254.8,184,2026-07-22T14:59:58.109743,200.9,460,200,45366.56
5,2026-07-22,135,SBI,Nepal SBI Bank Limited,412,412.9,402,412,50503,20618844.5,410,451.4,363,2026-07-22T14:59:03.621796,412,134,408.26,46700.71
6,2026-07-22,137,EBL,Everest Bank Limited,720,725,717,718,12550,9026616.9,720.5,780.6,619,2026-07-22T14:59:26.197313,718,116,719.25,98519.48
7,2026-07-22,139,NICA,NIC Asia Bank Ltd.,342,343,336.2,340.9,45184,15386691.1,342,418.8,304.5,2026-07-22T14:59:00.516527,340.9,148,340.53,50853.99
8,2026-07-22,140,MBL,Machhapuchhre Bank Limited,254.3,255,250.6,254,71269,17998123.9,255.5,284,205,2026-07-22T14:59:49.023714,254,174,252.53,30698.98
9,2026-07-22,141,LSL,Laxmi Sunrise Bank Limited,220,225,220,225,138502,31062475.1,223.6,252,203,2026-07-22T14:59:28.107423,225,226,224.27,60257.62
10,2026-07-22,142,KBL,Kumari Bank Limited,218.5,221.6,216.6,219,208940,45755631.9,220.9,256,175.5,2026-07-22T14:59:58.275965,219,492,218.98,57434.64
11,2026-07-22,145,SBL,Siddhartha Bank Limited,400.2,403,396.1,400.4,77485,31058062.6,399,424,320.5,2026-07-22T14:59:39.661113,400.4,199,400.82,59237.09
12,2026-07-22,147,SHL,Soaltee Hotel Limited,505,505,497.7,502,18022,9013671.3,505,619,464,2026-07-22T14:57:27.547388,502,63,500.14,58992.66
13,2026-07-22,148,TRH,Taragaon Regency Hotel Limited,799,801.9,773.1,793,2520,1973326.5,788,1086.3,681.1,2026-07-22T14:59:48.002402,793,23,783.06,15559.61
14,2026-07-22,149,OHL,Oriental Hotels Limited,685.3,698.8,685,685,760,520920,698.8,948,633.1,2026-07-22T14:59:43.837907,685,13,685.42,8113.79
15,2026-07-22,152,NHPC,National Hydro Power Company Limited,297,297,280,285.4,559326,159769607.6,282.9,340,178.6,2026-07-22T14:59:59.227355,285.4,1117,285.64,7039.21
16,2026-07-22,153,BPCL,Butwal Power Company Limited,640,677.9,640,671.8,24712,16462005.5,673,1065,612,2026-07-22T14:59:59.238385,671.8,100,666.15,22902.1
17,2026-07-22,154,CHCL,Chilime Hydropower Company Limited,493,496,480.1,495.2,44279,21742810.8,495.9,584,450.3,2026-07-22T14:59:42.734354,495.2,204,491.04,46969.67
18,2026-07-22,155,STC,Salt Trading Corporation,5250,5250,5190,5200,1220,6345630,5250,6335.9,4832,2026-07-22T14:04:19.937188,5200,14,5201.33,18261.63
19,2026-07-22,156,BBC,Bishal Bazar Company Limited,4300,4400,4256,4268,545,2356241,4390,6120,4021.1,2026-07-22T14:59:03.037477,4268,21,4323.37,171146.8
20,2026-07-22,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,628,634,620,629,7278,4550579.4,632,854.4,582.2,2026-07-22T14:59:41.693654,629,37,625.25,17251.48
21,2026-07-22,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,936,939,927,933.5,19042,17750689.6,935,1144.8,882,2026-07-22T14:59:43.555625,933.5,128,932.18,33767.16
22,2026-07-22,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,850,851.9,841,842.1,4449,3755403.7,850,1010,793,2026-07-22T14:56:31.222438,842.1,48,844.1,17306.12
23,2026-07-22,171,SANIMA,Sanima Bank Limited,365,372,362.7,367.3,59752,21949635.2,368,391,295,2026-07-22T14:58:29.913708,367.3,180,367.34,49884.94
24,2026-07-22,172,NABBC,Narayani Development Bank Limited,750.5,795,750.5,792,10657,8276874.7,790,1835,662,2026-07-22T14:59:59.885808,792,110,776.66,4157.49
25,2026-07-22,176,NICL,Nepal Insurance Co. Ltd.,525,526,519,519,11570,6041617.2,525.9,699.9,475,2026-07-22T14:59:40.628525,519,49,522.17,13227.1
26,2026-07-22,177,RBCL,Rastriya Beema Company Limited,14590,14590,14474,14474,40,580120,14898,16900,14015,2026-07-22T11:22:08.96143,14474,2,14503,38592.97
27,2026-07-22,178,NLICL,National Life Insurance Co. Ltd.,594,594,580.5,589,2245,1314724,594,690,539,2026-07-22T14:59:10.417929,589,31,585.62,33523.81
28,2026-07-22,179,HEI,Himalayan Everest Insurance Limited,535,542,528.1,532,8219,4407171.8,539.9,654,458,2026-07-22T14:59:59.160649,532,22,536.21,13300.84
29,2026-07-22,180,UAIL,United Ajod Insurance Limited,460,465,455,456,9253,4248253.3,468.7,625,421,2026-07-22T14:59:36.211076,456,85,459.12,12083.54
30,2026-07-22,182,SPIL,Siddhartha Premier Insurance Limited,715,720,700.1,715,12469,8843285.8,715,886,625,2026-07-22T14:59:33.923351,715,37,709.22,20066.83
31,2026-07-22,183,NIL,Neco Insurance Limited,639.9,647.9,630,631.1,13854,8826875.5,635,783.9,562,2026-07-22T14:59:30.472489,631.1,75,637.13,17495.85
32,2026-07-22,184,PRIN,Prabhu Insurance Ltd.,685.1,689.9,681.1,685,4288,2931456.5,692,909.4,630,2026-07-22T14:57:02.08622,685,33,683.64,12665.23
33,2026-07-22,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,610,610,599,599,14126,8489666.3,610.4,765.9,570,2026-07-22T14:59:43.574167,599,48,600.99,15709.6
34,2026-07-22,186,IGI,IGI Prudential insurance Limited,444.4,452.3,441,450,16061,7175344.2,452.7,600,392,2026-07-22T14:58:50.188907,450,55,446.75,13632.01
35,2026-07-22,187,NLIC,Nepal Life Insurance Co. Ltd.,772,772,761.5,764,13922,10653401.6,773.9,890,702,2026-07-22T14:59:49.267283,764,133,765.22,72428.74
36,2026-07-22,188,LICN,Life Insurance Corporation (Nepal) Limited,805,805,790,804.4,6504,5183129.6,796.5,990,763,2026-07-22T14:59:57.101812,804.4,62,796.91,44242
37,2026-07-22,192,SICL,Shikhar Insurance Co. Ltd.,635,635,621,635,8698,5475253.1,638,828,588.8,2026-07-22T14:59:44.187263,635,55,629.48,19694.96
38,2026-07-22,194,NFS,Nepal Finance Ltd.,582,590,577,582.6,10990,6430431.1,580,851,550,2026-07-22T14:59:50.61692,582.6,102,585.11,4887.69
39,2026-07-22,195,BNL,Bottlers Nepal (Balaju) Limited,15200,15200,15200,15200,30,456000,15200,17500,13872.8,2026-07-22T12:42:12.472507,15200,2,15200,29623.08
40,2026-07-22,204,GUFL,Gurkhas Finance Ltd.,560,575,560,565,11325,6444589.7,565,644,460.6,2026-07-22T14:58:33.247815,565,76,569.05,4904.16
41,2026-07-22,210,CIT,Citizen Investment Trust,1730.5,1732,1710,1724,4080,7019182.5,1730.1,2168,1630.3,2026-07-22T14:59:58.080229,1724,117,1720.38,117331.96
42,2026-07-22,213,BNT,Bottlers Nepal (Terai) Limited,11573,11573,11571,11571,30,347160,11621,13205,10660,2026-07-22T13:15:35.100753,11571,3,11572,14000.91
43,2026-07-22,219,UNL,Unilever Nepal Limited,47800,47800,47800,47800,10,478000,47040,50724,45200,2026-07-22T12:09:12.743644,47800,1,47800,44009.46
44,2026-07-22,227,BFC,Best Finance Company Ltd.,530,558,530,535.1,289485,158039510.5,530,579.9,411.5,2026-07-22T14:59:59.251155,535.1,1267,545.93,4764.66
45,2026-07-22,232,GFCL,Goodwill Finance Limited,615.1,639.9,615.1,633,32871,20711906.7,628.9,756.8,528.3,2026-07-22T14:59:59.103509,633,110,630.09,5988.91
46,2026-07-22,235,HDL,Himalayan Distillery Limited,1181,1189.9,1170.2,1178,30326,35767657,1188.5,1556.1,1097.6,2026-07-22T14:59:52.082271,1178,279,1179.43,43445.61
47,2026-07-22,238,NMB,NMB Bank Limited,243,245.7,240.7,243.9,31540,7687434.1,244.9,283,230,2026-07-22T14:59:59.905875,243.9,151,243.73,47036.22
48,2026-07-22,244,SIFC,Shree Investment Finance Co. Ltd.,522,540,520,527,18006,9484975.7,527.9,687.4,459,2026-07-22T14:59:56.60513,527,94,526.76,5270
49,2026-07-22,245,CFCL,Central Finance Co. Ltd.,602,650.8,602,641.3,113396,72910401.4,633,695,445.1,2026-07-22T14:59:58.184515,641.3,444,642.97,6085.14
50,2026-07-22,250,JFL,Janaki Finance Company Limited,403,410.9,403,405.5,7555,3073248.4,403.9,558,375,2026-07-22T14:58:50.65227,405.5,58,406.78,2799.87
51,2026-07-22,255,PRVU,Prabhu  Bank Limited,194,198,194,195,111920,21883646.4,197.2,250.9,179.9,2026-07-22T14:59:59.055475,195,329,195.52,45907.86
52,2026-07-22,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,472.9,484.9,465.7,475,39826,19019352.4,469.9,557,393.1,2026-07-22T14:59:23.127539,475,193,477.56,4807.84
53,2026-07-22,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,694,696,681.2,690,17605,12105923.3,688,1046.5,630.5,2026-07-22T14:59:17.89031,690,67,687.64,12075
54,2026-07-22,273,ICFC,ICFC Finance Limited,620,622,615,618,5520,3416259,622,730.9,580,2026-07-22T14:59:58.451836,618,39,618.88,7313.85
55,2026-07-22,274,EDBL,Excel Development Bank Ltd.,586,586,575,583,5908,3436811,578,717.3,545,2026-07-22T14:59:56.191007,583,38,581.72,7285.72
56,2026-07-22,307,NTC,Nepal Doorsanchar Company Limited,875,875,853,857.1,12970,11115716.3,864.9,942.5,762.5,2026-07-22T14:59:47.915931,857.1,174,857.03,154278
57,2026-07-22,338,PROFL,Progressive Finance Limited,448.7,449.2,439,444,6781,3021539.5,440,589.2,415,2026-07-22T14:53:46.336081,444,57,445.58,3801.12
