Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2026-07-29,131,NABIL,Nabil Bank Limited,558,560,553.5,557.5,58797,32817748,558,568,471,2026-07-29T14:59:31.901794,557.5,501,558.15,150842.77
2,2026-07-29,132,NIMB,Nepal Investment Mega Bank Limited,203,203.8,199.1,199.5,129373,26039530.5,202.8,247,184,2026-07-29T14:59:51.063675,199.5,376,201.27,68086.55
3,2026-07-29,133,SCB,Standard Chartered Bank Limited,650.1,659,641,657,12523,8189469.1,655,712.6,594.9,2026-07-29T14:58:56.825199,657,86,653.95,65978.36
4,2026-07-29,134,HBL,Himalayan Bank Limited,200.8,201.9,198,198,49632,9898051.1,200.8,250.9,184,2026-07-29T14:59:59.976656,198,531,199.42,44711.69
5,2026-07-29,135,SBI,Nepal SBI Bank Limited,408.1,412,402,409.9,14663,5991905.6,408.1,451.4,363,2026-07-29T14:59:57.094045,409.9,46,408.64,46462.67
6,2026-07-29,137,EBL,Everest Bank Limited,725,730,720,727,27058,19639347.6,725,780.6,619,2026-07-29T14:59:11.387245,727,137,725.82,99754.4
7,2026-07-29,139,NICA,NIC Asia Bank Ltd.,345,345,335,338.9,37161,12537510.6,340,411,304.5,2026-07-29T14:59:59.842512,338.9,183,337.38,50555.63
8,2026-07-29,140,MBL,Machhapuchhre Bank Limited,263,265,258,259,79615,20815702.9,261,284,205,2026-07-29T14:59:24.388799,259,226,261.45,31303.29
9,2026-07-29,141,LSL,Laxmi Sunrise Bank Limited,225.4,230,225.2,228.5,191885,43893508,227.5,252,203,2026-07-29T14:59:54.564975,228.5,215,228.74,61194.96
10,2026-07-29,142,KBL,Kumari Bank Limited,234.1,234.1,220.2,221,259969,58002389.6,223,256,175.5,2026-07-29T14:59:50.013597,221,573,223.11,57959.15
11,2026-07-29,145,SBL,Siddhartha Bank Limited,412.4,415,409,412.9,91431,37675384.9,412.5,424,320.5,2026-07-29T14:59:30.952701,412.9,189,412.06,61086.4
12,2026-07-29,147,SHL,Soaltee Hotel Limited,499,502,498.2,500,10770,5388888,500.9,600,464,2026-07-29T14:59:54.347033,500,35,500.36,58757.63
13,2026-07-29,148,TRH,Taragaon Regency Hotel Limited,780,780,770,770.4,544,419854.2,780,1063.8,681.1,2026-07-29T14:59:47.694271,770.4,10,771.79,15116.17
14,2026-07-29,149,OHL,Oriental Hotels Limited,690.7,690.8,669,678,3429,2314964.2,689,934.9,633.1,2026-07-29T14:58:55.837732,678,31,675.11,8030.88
15,2026-07-29,152,NHPC,National Hydro Power Company Limited,260,273,260,267.6,131662,35450748.7,268,340,178.6,2026-07-29T14:59:59.003004,267.6,405,269.25,6600.19
16,2026-07-29,153,BPCL,Butwal Power Company Limited,660,661,650.2,660,22240,14531282.4,660,1000,612,2026-07-29T14:59:58.49361,660,97,653.38,22499.83
17,2026-07-29,154,CHCL,Chilime Hydropower Company Limited,496.1,497.2,492,494,79038,39081501.2,497,565.9,450.3,2026-07-29T14:59:51.766385,494,134,494.46,46855.85
18,2026-07-29,155,STC,Salt Trading Corporation,5130,5199,5130,5190,1491,7665448.2,5200,6335.9,4832,2026-07-29T14:59:12.775593,5190,21,5141.14,18226.51
19,2026-07-29,156,BBC,Bishal Bazar Company Limited,4210,4328,4210,4300,150,643088,4300,6120,4021.1,2026-07-29T14:59:56.752922,4300,15,4287.25,172430
20,2026-07-29,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,607,625,602,623,9183,5596057.4,617,835.3,582.2,2026-07-29T14:59:56.974788,623,66,609.39,17086.92
21,2026-07-29,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,940.5,944,935.3,938,13735,12887500.9,940,1132,882,2026-07-29T14:59:41.834444,938,119,938.29,33929.94
22,2026-07-29,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,842,847,836.7,836.7,4927,4135751,842,1010,793,2026-07-29T14:59:46.645559,836.7,48,839.4,17195.14
23,2026-07-29,171,SANIMA,Sanima Bank Limited,368.5,375.1,368,372.7,118077,44082849.5,369.5,391,295,2026-07-29T14:59:47.439707,372.7,323,373.33,50618.35
24,2026-07-29,172,NABBC,Narayani Development Bank Limited,776,800,776,785.1,4249,3361920,790,1835,662,2026-07-29T14:59:12.804631,785.1,50,791.22,4121.27
25,2026-07-29,176,NICL,Nepal Insurance Co. Ltd.,520,520,506,510,24893,12676743.2,510.9,680.7,475,2026-07-29T14:55:37.627672,510,71,509.24,12997.73
26,2026-07-29,177,RBCL,Rastriya Beema Company Limited,14575,14575,14557,14557,20,291320,14575,16900,14015,2026-07-29T14:57:33.857679,14557,2,14566,38814.28
27,2026-07-29,178,NLICL,National Life Insurance Co. Ltd.,606.9,606.9,579.1,580,5796,3403051.4,578,681.8,539,2026-07-29T14:54:45.075674,580,51,587.13,33011.57
