Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-10-14,131,NABIL,Nabil Bank Limited,518.5,518.5,510,510,31168,15920085.6,510,619,471,2025-10-14T14:59:58.775966,510,306,510.78,137990.69
2,2025-10-14,132,NIMB,Nepal Investment Mega Bank Limited,203.9,203.9,198,198,77389,15396082,201,264.9,189.2,2025-10-14T14:57:49.074592,198,316,198.94,67574.62
3,2025-10-14,137,EBL,Everest Bank Limited,643,649.9,636,639,30565,19522076,642,780.6,570,2025-10-14T14:56:34.477939,639,180,638.7,87679.59
4,2025-10-14,139,NICA,NIC Asia Bank Ltd.,322,324.5,316,316.7,36339,11579222.9,322,505,308.7,2025-10-14T14:59:50.315751,316.7,262,318.64,47243.93
5,2025-10-14,140,MBL,Machhapuchhre Bank Limited,215.6,215.6,211,212,16344,3464574.2,211.4,290,208.6,2025-10-14T14:59:41.045541,212,81,211.97,25622.77
6,2025-10-14,142,KBL,Kumari Bank Limited,187.9,187.9,184.1,185,95242,17628836.5,186.5,253.5,175.5,2025-10-14T14:59:57.685406,185,336,185.09,48517.84
7,2025-10-14,149,OHL,Oriental Hotels Limited,667.4,681,655.1,681,2135,1428536.6,681,1100,650,2025-10-14T14:59:52.90113,681,46,669.1,8066.41
8,2025-10-14,153,BPCL,Butwal Power Company Limited,700,700,662.2,668,89112,60176131.6,692,1065,375.1,2025-10-14T14:59:57.291484,668,361,675.28,22772.55
9,2025-10-14,156,BBC,Bishal Bazar Company Limited,4899,5090,4801.1,4889,1878,9334521.8,4810,7247,4057.2,2025-10-14T14:59:59.417878,4889,99,4970.45,196048.9
10,2025-10-14,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,720,730,716.5,730,4065,2927139.3,722,854.4,650,2025-10-14T14:59:53.913494,730,49,720.08,19068.18
11,2025-10-14,171,SANIMA,Sanima Bank Limited,312,315,309,311,38789,12081509.4,318.2,391,285,2025-10-14T14:59:59.121375,311,196,311.46,42238.54
