Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-10-16,132,NIMB,Nepal Investment Mega Bank Limited,198,198,196,197.5,59423,11717193.8,197.2,264.9,189.2,2025-10-16T14:59:40.876633,197.5,237,197.18,67403.97
2,2025-10-16,133,SCB,Standard Chartered Bank Limited,625,625,603,613,24469,14917474.3,615,779.2,594.9,2025-10-16T14:59:27.723489,613,136,609.64,61559.72
3,2025-10-16,139,NICA,NIC Asia Bank Ltd.,319,319,314,314.1,33027,10410928.7,317,505,308.7,2025-10-16T14:59:24.484067,314.1,208,315.22,46856.08
4,2025-10-16,140,MBL,Machhapuchhre Bank Limited,213,213,208,209.4,34843,7299830.1,209.9,290,208,2025-10-16T14:59:51.520609,209.4,144,209.5,25308.53
5,2025-10-16,141,LSL,Laxmi Sunrise Bank Limited,219,219,215.3,217,37330,8097284,216.8,274.9,201,2025-10-16T14:59:47.349875,217,126,216.91,52831.93
6,2025-10-16,142,KBL,Kumari Bank Limited,183,183,180.2,181.4,109025,19797804.3,181.6,253.5,175.5,2025-10-16T14:59:51.508416,181.4,357,181.58,47573.71
7,2025-10-16,149,OHL,Oriental Hotels Limited,661.5,687,654.1,670,3984,2639132.1,675,1100,650,2025-10-16T14:59:57.231138,670,60,662.43,7936.12
8,2025-10-16,156,BBC,Bishal Bazar Company Limited,4872,4872,4700,4765,551,2620929,4780,7247,4057.2,2025-10-16T14:59:59.250282,4765,39,4756.67,191076.5
9,2025-10-16,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,732,732,711,719.9,2732,1963380.1,722.2,854.4,650,2025-10-16T14:58:38.762811,719.9,39,718.66,18804.36
10,2025-10-16,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,977,977,952,960,27353,26365430.3,977,1144.8,821.5,2025-10-16T14:59:21.148736,960,217,963.89,30867.32
11,2025-10-16,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,804.1,818,804,806,4831,3898922.9,817,1010,759,2025-10-16T14:59:36.543138,806,57,807.06,15058.39
12,2025-10-16,172,NABBC,Narayani Development Bank Limited,692.9,775,692.9,720,119254,87188888.1,707,2060,610.1,2025-10-16T14:59:57.893343,720,91,731.11,3779.53
13,2025-10-16,177,RBCL,Rastriya Beema Company Limited,14640,14640,14640,14640,10,146400,14515,18409,14024,2025-10-16T14:59:56.168839,14640,1,14640,39035.58
14,2025-10-16,178,NLICL,National Life Insurance Co. Ltd.,591,591,571.1,578,12000,6891731.4,580,738,539,2025-10-16T14:59:42.044783,578,51,574.31,31632.43
15,2025-10-16,179,HEI,Himalayan Everest Insurance Limited,479.5,479.5,461,461.1,17704,8181784.3,470.1,722,461,2025-10-16T14:59:37.388936,461.1,87,462.14,11528.23
16,2025-10-16,180,UAIL,United Ajod Insurance Limited,436,445,436,438.5,10312,4532329.4,444.8,767,422.1,2025-10-16T14:59:43.378082,438.5,92,439.51,10129.35
17,2025-10-16,182,SPIL,Siddhartha Premier Insurance Limited,655.1,655.1,632,635,8733,5578002.1,660,980.4,632,2025-10-16T14:59:20.571122,635,76,638.72,17821.59
18,2025-10-16,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,570.3,602,570.1,602,2739,1577381.4,580,818,570.1,2025-10-16T14:36:17.908976,602,26,575.89,15788.28
19,2025-10-16,186,IGI,IGI Prudential insurance Limited,399.2,406,395,395,15526,6205814.5,400,690.8,395,2025-10-16T14:59:33.051946,395,124,399.7,11965.87
20,2025-10-16,194,NFS,Nepal Finance Ltd.,614.9,614.9,606,609,12968,7877526.1,608,1605,576,2025-10-16T14:59:51.842559,609,121,607.45,5109.17
21,2025-10-16,210,CIT,Citizen Investment Trust,1853,1858,1820,1828,11281,20626126.4,1828,2299,1730.8,2025-10-16T14:59:39.041571,1828,168,1828.39,118485.7
22,2025-10-16,219,UNL,Unilever Nepal Limited,48250,48300,48000,48100,95,4577000,48800,50724,43800,2025-10-16T14:54:17.447282,48100,10,48178.94,44285.67
23,2025-10-16,235,HDL,Himalayan Distillery Limited,1338,1338,1310,1310,71639,94253662.6,1312,1556.1,1136,2025-10-16T14:59:56.072899,1310,502,1315.67,40261.56
24,2025-10-16,244,SIFC,Shree Investment Finance Co. Ltd.,479,479,459,459,15343,7120983.7,472.6,728.1,459,2025-10-16T14:59:51.168246,459,69,464.11,4590
25,2025-10-16,245,CFCL,Central Finance Co. Ltd.,479,479,463,463,6822,3171076.5,472,745.9,445.1,2025-10-16T14:51:21.288362,463,38,464.83,4393.29
26,2025-10-16,250,JFL,Janaki Finance Company Limited,420,428.4,416,420,5085,2129968.8,420,1083.3,395,2025-10-16T14:58:37.242853,420,65,418.87,2899.99
27,2025-10-16,256,SFCL,Samriddhi Finance Company Limited,390,390,373.1,376,13943,5273524.4,384.5,1117.9,373.1,2025-10-16T14:59:39.39022,376,127,378.22,3079.11
28,2025-10-16,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,419,421.2,393.1,418,13874,5693197.5,413,735.9,393.1,2025-10-16T14:59:52.469293,418,54,410.35,4230.9
29,2025-10-16,131,NABIL,Nabil Bank Limited,517.9,517.9,506,509,37341,18987148.5,508.7,619,471,2025-10-16T14:59:59.806644,509,354,508.47,137720.12
30,2025-10-16,134,HBL,Himalayan Bank Limited,194,196,192.1,194.8,34884,6783154.9,194,286,184,2025-10-16T14:59:56.322202,194.8,967,194.44,43989.08
31,2025-10-16,135,SBI,Nepal SBI Bank Limited,384.8,385.5,376,376.1,13570,5133791.3,378,549,363,2025-10-16T14:59:49.666281,376.1,84,378.31,40991.73
32,2025-10-16,137,EBL,Everest Bank Limited,636,642,630,640.1,49689,31556507.2,637,780.6,570,2025-10-16T14:58:15.857363,640.1,216,635.08,87830.53
33,2025-10-16,145,SBL,Siddhartha Bank Limited,353,353,342.1,342.9,70963,24428461.6,346.6,408,261,2025-10-16T14:59:42.66587,342.9,131,344.24,48314.54
34,2025-10-16,147,SHL,Soaltee Hotel Limited,487.5,494,483.3,485,19520,9496547.3,488.5,619,455,2025-10-16T14:58:57.294018,485,66,486.5,49560.34
35,2025-10-16,148,TRH,Taragaon Regency Hotel Limited,800,808.6,793,807.9,2479,1973005.9,814.8,1284,793,2025-10-16T14:59:58.134761,807.9,33,795.88,15851.97
36,2025-10-16,152,NHPC,National Hydro Power Company Limited,187,188,180.4,185,42597,7820854,184.9,254,178.6,2025-10-16T14:59:58.724421,185,208,183.6,4562.91
37,2025-10-16,153,BPCL,Butwal Power Company Limited,687.4,687.4,656,660,98102,65492640.5,674,1065,375.1,2025-10-16T14:59:57.793985,660,301,667.59,22499.83
38,2025-10-16,154,CHCL,Chilime Hydropower Company Limited,489,489,475.3,484,29239,14025079.1,482.7,610,456,2025-10-16T14:59:57.406812,484,191,479.67,42506.8
39,2025-10-16,155,STC,Salt Trading Corporation,5053,5150,5053,5055,380,1932018.7,5126,6399,4832,2025-10-16T14:59:43.099755,5055,14,5084.25,16212.25
40,2025-10-16,171,SANIMA,Sanima Bank Limited,308.2,309,302.1,305,63297,19304769.9,305,391,285,2025-10-16T14:59:46.164274,305,199,304.98,41423.65
41,2025-10-16,176,NICL,Nepal Insurance Co. Ltd.,496.1,498.5,490.1,498.5,5081,2520101.1,500,1064,489.1,2025-10-16T14:59:38.051967,498.5,62,495.98,12704.65
42,2025-10-16,183,NIL,Neco Insurance Limited,590,590,574,580,10851,6250994.4,585,999,574,2025-10-16T14:59:36.191698,580,130,576.07,15610.89
43,2025-10-16,184,PRIN,Prabhu Insurance Ltd.,661.8,661.8,638,646,2219,1423487.3,649.9,1088.8,638,2025-10-16T14:59:52.538331,646,27,641.49,10988.18
44,2025-10-16,187,NLIC,Nepal Life Insurance Co. Ltd.,750,760,744.8,744.8,20842,15600917.2,748.1,920,702,2025-10-16T14:59:54.144198,744.8,191,748.53,67246.23
45,2025-10-16,188,LICN,Life Insurance Corporation (Nepal) Limited,814,814,786,795,7038,5582405,801,2157.4,773,2025-10-16T14:59:37.315884,795,122,793.18,43725
46,2025-10-16,192,SICL,Shikhar Insurance Co. Ltd.,629.9,629.9,606,610.6,5638,3445143.2,618,905,588.8,2025-10-16T14:59:42.877431,610.6,65,611.05,17848.44
47,2025-10-16,204,GUFL,Gurkhas Finance Ltd.,480,480,468,474,2814,1330005.2,471.5,840,465.5,2025-10-16T14:59:28.70028,474,45,472.63,4114.29
48,2025-10-16,213,BNT,Bottlers Nepal (Terai) Limited,10800,10908,10700,10908,80,861470,10701,15289.7,10666.1,2025-10-16T14:54:21.628404,10908,7,10768.37,13198.68
49,2025-10-16,227,BFC,Best Finance Company Ltd.,443,443,430,430.1,9685,4179921.1,435,951.6,411.5,2025-10-16T14:59:51.139235,430.1,79,431.58,3829.71
50,2025-10-16,232,GFCL,Goodwill Finance Limited,589,589.5,560,561,12064,6820787.4,578,1200,528.3,2025-10-16T14:59:52.512695,561,115,565.38,5307.71
51,2025-10-16,236,PFL,Pokhara Finance Ltd.,373.9,373.9,365.5,367,7122,2623221.1,369,794.9,339.9,2025-10-16T14:59:43.681701,367,66,368.32,3972.98
52,2025-10-16,238,NMB,NMB Bank Limited,239.9,240,234,235,149580,35438219,237.9,288,230,2025-10-16T14:59:56.364209,235,179,236.91,43161.76
53,2025-10-16,255,PRVU,Prabhu  Bank Limited,200,200,196.2,198,95955,18997118,197.5,273,186,2025-10-16T14:59:31.075326,198,253,197.97,46614.13
54,2025-10-16,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,779,790,777,781,4690,3663497.1,789.9,1092,756.9,2025-10-16T14:57:50.451777,781,48,781.12,12938.24
55,2025-10-16,348,CZBIL,Citizens Bank International Limited,200.2,202.1,200.1,202,28700,5779925.8,200.1,265.3,196,2025-10-16T14:59:39.798185,202,106,201.39,29833.41
56,2025-10-16,357,PCBL,Prime Commercial Bank Ltd.,235,235,229.7,232.8,26930,6221091.5,232,305.7,226,2025-10-16T14:59:32.119187,232.8,123,231,45169.2
57,2025-10-16,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,271.7,278.5,270,270.2,115412,31296099,275,334,239.3,2025-10-16T14:59:58.126283,270.2,376,271.16,10397.3
58,2025-10-16,273,ICFC,ICFC Finance Limited,615,615,605,606,9717,5906972,615,872,555,2025-10-16T14:59:30.55517,606,48,607.9,7171.83
59,2025-10-16,274,EDBL,Excel Development Bank Ltd.,562.4,572,555,556.3,6890,3835125.5,573.8,838.2,530.7,2025-10-16T14:59:16.877673,556.3,34,556.62,6952.05
60,2025-10-16,307,NTC,Nepal Doorsanchar Company Limited,854.9,854.9,838,845.8,12178,10294004.7,844,1107,762.5,2025-10-16T14:59:40.905189,845.8,137,845.29,152244
61,2025-10-16,338,PROFL,Progressive Finance Limited,440,445,430.1,431,7584,3312602.9,443,768,430.1,2025-10-16T14:59:55.577033,431,63,436.78,3689.82
62,2025-10-16,341,GBIME,Global IME Bank Limited,236,237.5,232.5,236,212927,49929473.3,234,278.9,210.7,2025-10-16T14:59:57.783958,236,381,234.49,89953.41
63,2025-10-16,358,LBBL,Lumbini Bikas Bank Ltd.,455,455,435,443.9,72905,32018046.2,449,646.3,376.5,2025-10-16T14:59:58.641636,443.9,233,439.17,16085.51
64,2025-10-16,371,MDB,Miteri Development Bank Limited,555,555,535,540,34584,18781955.1,561,843.5,535,2025-10-16T14:59:21.260314,540,269,543.08,6572.34
65,2025-10-16,397,ADBL,Agricultural Development Bank Limited,312,312,305.5,308.9,18464,5661314.4,308,400,272.3,2025-10-16T14:59:56.945057,308.9,123,306.61,42798.79
66,2025-10-16,459,KSBBL,Kamana Sewa Bikas Bank Limited,423,423,405.1,413,29581,12148008,416.1,588,405,2025-10-16T14:59:38.228487,413,115,410.66,15949.77
67,2025-10-16,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,161.1,164.3,161.1,164.3,1180,193554,161.8,186.8,147.7,2025-10-16T14:59:27.248418,164.3,3,164.02,30079.29
68,2025-10-16,472,SADBL,Shangrila Development Bank Ltd.,387,387.1,380.1,383,36262,13893881,386.3,526.5,372.4,2025-10-16T14:59:52.488363,383,122,383.15,13620.46
69,2025-10-16,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,846.9,863.9,835,863.9,13365,11281902.4,847,999,780,2025-10-16T14:59:15.148344,863.9,142,844.13,37256.74
70,2025-10-16,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,808,808,770,780,14510,11390016.5,795,987,698,2025-10-16T14:59:34.15205,780,189,784.97,7663.5
71,2025-10-16,591,SHPC,Sanima Mai Hydropower Ltd.,497,508,485,487,66152,32329681.8,490,684.9,438.1,2025-10-16T14:59:40.072418,487,184,488.71,18204.03
72,2025-10-16,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,942,1015,942,1015,4287,4119537.5,960.4,1270,942,2025-10-16T14:59:51.684343,1015,52,960.93,4138.08
73,2025-10-16,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,905,905,875,875,1186,1058486,910.3,1367.3,875,2025-10-16T14:14:40.989974,875,18,892.48,3864.54
74,2025-10-16,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,12000,12000,11900,11900,90,1074102,11950.1,13530,11007.1,2025-10-16T14:02:09.346683,11900,7,11934.46,21137.92
75,2025-10-16,686,BARUN,Barun Hydropower Co. Ltd.,307,320,306,306,19122,5894734.3,313,589,292.1,2025-10-16T14:59:58.310944,306,147,308.26,3279.19
76,2025-10-16,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,904.9,905,864,869,2324,2034690.1,899,1140,864,2025-10-16T14:57:28.345863,869,36,875.51,2779.22
77,2025-10-16,694,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,990,1003,975,975,865,849008.3,990,1482,950,2025-10-16T14:58:23.892275,975,25,981.51,6126.48
78,2025-10-16,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,626,635,613.6,617.1,6097,3776698.5,630.2,876,613.6,2025-10-16T14:59:45.160978,617.1,51,619.43,4452.06
79,2025-10-16,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1150.1,1155,1142,1144,1151,1318889.3,1165,1441.6,1131.9,2025-10-16T14:54:20.824765,1144,28,1145.86,7080.22
80,2025-10-16,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,759,759,704,730,8286,5962379.5,745,1000,648,2025-10-16T14:59:56.467067,730,89,719.57,10358.7
81,2025-10-16,2744,GRDBL,Green Development Bank Ltd.,1020,1040,1011,1011,7158,7331430.7,1040,2001.4,701,2025-10-16T14:59:59.402298,1011,124,1024.22,5759.65
82,2025-10-16,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,596,602,590,596.5,3461,2061651.5,598,880,590,2025-10-16T14:59:27.96997,596.5,55,595.68,6168.19
83,2025-10-16,2751,KKHC,Khanikhola Hydropower Co. Ltd.,223,227.2,216.7,221,6160,1362071,227,475.9,216.7,2025-10-16T14:59:12.98135,221,78,221.11,2058.46
84,2025-10-16,2754,DHPL,Dibyashwori Hydropower Ltd.,282,297.8,276,285,7509,2102651.3,287,427.2,235,2025-10-16T14:59:52.281275,285,65,280.01,752.4
85,2025-10-16,2759,SPDL,Synergy Power Development Ltd.,377,384,367,367,95746,35656170.2,377,465,295,2025-10-16T14:59:58.243359,367,330,372.4,4440.2
