Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-08-12,131,NABIL,Nabil Bank Limited,530,534.5,524.2,524.86,79172,41718059.2,526.3,682,474.1,2025-08-12T14:59:56.028689,525,719,526.92,142011.36
2,2025-08-12,132,NIMB,Nepal Investment Mega Bank Limited,221.2,224.9,220.2,220.74,78271,17317908.7,222.18,295,201,2025-08-12T14:59:46.847494,220.5,345,221.25,75335.46
3,2025-08-12,133,SCB,Standard Chartered Bank Limited,658,658,630.5,639.98,27289,17461420.9,647.13,790,597.1,2025-08-12T14:59:31.035183,640,164,639.87,64269.15
4,2025-08-12,134,HBL,Himalayan Bank Limited,224.5,225,219.4,221.07,104854,23242857.6,226.1,312.1,210,2025-08-12T14:59:57.52713,221,401,221.66,47876.28
5,2025-08-12,135,SBI,Nepal SBI Bank Limited,413,418,409.5,410.01,14584,6015123.3,415.79,549,372.2,2025-08-12T14:59:51.261629,409.5,110,412.44,44687.64
6,2025-08-12,137,EBL,Everest Bank Limited,715,718,701.1,709.49,143996,101772278.7,709.53,790,567,2025-08-12T14:59:58.061254,710,692,706.77,91841.31
7,2025-08-12,139,NICA,NIC Asia Bank Ltd.,385,385,376.1,376.92,59057,22363141.3,381.26,564,333,2025-08-12T14:59:53.748386,377,359,378.67,56227.29
8,2025-08-12,140,MBL,Machhapuchhre Bank Limited,260.9,260.9,253,253.21,74236,18867254.3,255.86,295,208.6,2025-08-12T14:58:43.900063,253.9,253,254.15,29426.44
9,2025-08-12,141,LSL,Laxmi Sunrise Bank Limited,236,237,233.1,234.15,65928,15446140.7,236.27,300,201,2025-08-12T14:59:52.464592,233.9,197,234.28,57007.36
10,2025-08-12,142,KBL,Kumari Bank Limited,215.6,215.6,208,208.3,317703,66574994.2,211.39,272.9,192.1,2025-08-12T14:59:58.416878,209.7,982,209.55,54628.47
