Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-08-27,131,NABIL,Nabil Bank Limited,539.9,539.9,526.5,533.87,64476,34175100.6,529.35,630,474.1,2025-08-27T14:59:59.511857,533.5,543,530.04,144449.2
2,2025-08-27,132,NIMB,Nepal Investment Mega Bank Limited,213.4,213.7,209,213.18,106943,22641359.8,209.31,264.9,201,2025-08-27T14:59:58.627931,213.5,334,211.71,72755.34
3,2025-08-27,133,SCB,Standard Chartered Bank Limited,634,634,625.6,631.31,8359,5261878,626.45,779.2,597.1,2025-08-27T14:59:07.209375,631.5,98,629.48,63398.48
4,2025-08-27,134,HBL,Himalayan Bank Limited,212.6,212.6,207.9,211.27,74048,15523188.7,208.48,286,207.7,2025-08-27T14:59:58.757962,212,291,209.63,45753.93
5,2025-08-27,135,SBI,Nepal SBI Bank Limited,386,394.7,386,394.1,18563,7284576,386.84,549,372.2,2025-08-27T14:59:49.936267,394.7,103,392.42,42953.58
6,2025-08-27,137,EBL,Everest Bank Limited,749,753,746.2,751.56,95651,71777378.9,748.45,775,567,2025-08-27T14:59:52.382815,751.9,416,750.4,97287.14
7,2025-08-27,139,NICA,NIC Asia Bank Ltd.,351.4,352.9,345.2,351.44,75720,26464709.2,344.53,516,333,2025-08-27T14:59:41.011676,352.5,373,349.5,52426.3
8,2025-08-27,140,MBL,Machhapuchhre Bank Limited,251.5,253.9,247,252.18,72345,18213350.5,246.64,290,208.6,2025-08-27T14:59:59.647892,252,196,251.75,29306.74
9,2025-08-27,141,LSL,Laxmi Sunrise Bank Limited,240.2,240.2,233,237.99,105756,25107999.8,235.56,274.9,201,2025-08-27T14:59:10.033295,238.9,190,237.41,57942.26
10,2025-08-27,142,KBL,Kumari Bank Limited,205,205,201,203.93,232096,47074870.1,201.07,253.5,192.1,2025-08-27T14:59:55.552423,204.4,631,202.82,53482.4
11,2025-08-27,145,SBL,Siddhartha Bank Limited,369.3,375,362,371.47,107818,39966562.4,362.1,408,261,2025-08-27T14:59:45.031544,373,255,370.68,52340.05
12,2025-08-27,147,SHL,Soaltee Hotel Limited,565.5,575,555,571.15,48014,27243814.1,561.8,619,455,2025-08-27T14:59:48.844456,570.2,158,567.41,58363.69
13,2025-08-27,148,TRH,Taragaon Regency Hotel Limited,962,980,960,975.25,6108,5914023.6,959.42,1538,898,2025-08-27T14:59:30.106964,980,77,968.24,19135.58
14,2025-08-27,149,OHL,Oriental Hotels Limited,855,912,855,902.25,30417,27146220.6,871.88,1164.9,838.9,2025-08-27T14:59:36.644842,893,145,892.46,10687.11
15,2025-08-27,152,NHPC,National Hydro Power Company Limited,203,212,203,211.37,59349,12433462.2,207.13,265,195.2,2025-08-27T14:59:47.253084,211.4,237,209.49,5213.31
16,2025-08-27,153,BPCL,Butwal Power Company Limited,835.7,859.5,833.2,852.13,204568,173654694,835.7,1065,375.1,2025-08-27T14:59:58.10036,854,779,848.88,29049.66
17,2025-08-27,154,CHCL,Chilime Hydropower Company Limited,518.4,518.5,509,517.78,25894,13346562.9,508.27,620,469.7,2025-08-27T14:59:52.84806,518,212,515.43,45473.5
18,2025-08-27,155,STC,Salt Trading Corporation,5275,5310,5225,5304,1069,5657803,5277.25,6400,4905.1,2025-08-27T14:40:53.702716,5304,50,5292.61,17010.83
19,2025-08-27,156,BBC,Bishal Bazar Company Limited,5375,5500,5375,5463.75,678,3698963,5312,7247,4010,2025-08-27T14:59:59.268191,5475,51,5455.69,219096.38
20,2025-08-27,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,800.9,805,796.2,803.03,34680,27826982.5,796.18,854.4,650,2025-08-27T14:59:54.981371,802,182,802.39,20975.78
21,2025-08-27,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1080,1088.8,1064,1078.21,47532,51154434,1072.41,1144.8,821.5,2025-08-27T14:59:59.639756,1080,445,1076.21,34668.18
22,2025-08-27,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,903,914,903,913.26,12508,11373309.4,901.73,1072.5,759,2025-08-27T14:59:24.793063,913,125,909.28,17062.31
23,2025-08-27,171,SANIMA,Sanima Bank Limited,375.5,375.5,365,371.23,115913,42839498.1,368.17,391,285,2025-08-27T14:59:58.928984,371.3,382,369.58,50418.7
24,2025-08-27,172,NABBC,Narayani Development Bank Limited,864.5,864.5,813.4,830.04,25296,20982177.2,847.6,2060,530,2025-08-27T14:59:33.355529,829,206,829.46,4357.17
25,2025-08-27,176,NICL,Nepal Insurance Co. Ltd.,601,620,601,617.7,12802,7869016.9,608.46,1162,570,2025-08-27T14:59:53.126129,617,101,614.67,15742.55
26,2025-08-27,177,RBCL,Rastriya Beema Company Limited,15547,15799,15547,15781.45,135,2121373,15574.5,20349,14024,2025-08-27T14:59:52.335474,15790,8,15713.87,42079.11
