Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-11-02,133,SCB,Standard Chartered Bank Limited,648.7,648.7,630.3,638,15940,10130724.3,636,779.2,594.9,2025-11-02T14:59:56.291577,638,142,635.55,64070.31
2,2025-11-02,135,SBI,Nepal SBI Bank Limited,403.8,404.9,397.1,401,21767,8728246.9,400,508,363,2025-11-02T14:59:59.628925,401,90,400.98,43705.62
3,2025-11-02,137,EBL,Everest Bank Limited,637.5,637.5,623,630.1,26776,16892055.4,625,780.6,570,2025-11-02T14:59:57.799455,630.1,188,630.86,86458.39
4,2025-11-02,145,SBL,Siddhartha Bank Limited,370,370,359,367,245403,88792775.2,363.7,408,261,2025-11-02T14:59:57.804648,367,497,361.82,51710.23
5,2025-11-02,147,SHL,Soaltee Hotel Limited,555,557.5,549,552,76357,42258807.9,549,619,455,2025-11-02T14:59:53.011292,552,366,553.43,56406.82
6,2025-11-02,148,TRH,Taragaon Regency Hotel Limited,720,733.9,711.1,724.8,15084,10881777.2,720,1284,701.3,2025-11-02T14:58:33.154033,724.8,198,721.41,14221.45
7,2025-11-02,149,OHL,Oriental Hotels Limited,696.1,719.8,696,707.9,9114,6445124.2,709.8,1100,633.1,2025-11-02T14:59:56.802499,707.9,68,707.16,8385.04
8,2025-11-02,153,BPCL,Butwal Power Company Limited,779,795,765.1,776,326140,254823410.3,779,1065,375.1,2025-11-02T14:59:59.660227,776,1049,781.33,26454.34
9,2025-11-02,155,STC,Salt Trading Corporation,5300,5348,5180,5189,456,2375985.4,5273,6399,4832,2025-11-02T14:55:26.17374,5189,26,5210.49,16642.01
10,2025-11-02,156,BBC,Bishal Bazar Company Limited,4863,5024,4854,4897.1,401,1978832.1,4950,7247,4127.5,2025-11-02T14:59:52.728297,4897.1,37,4934.74,196373.71
11,2025-11-02,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,749.9,764.9,746,756,10087,7628153.2,745,854.4,650,2025-11-02T14:59:30.098508,756,87,756.23,19747.32
12,2025-11-02,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,995,1005,985,998,15349,15269913.8,983.2,1144.8,821.5,2025-11-02T14:59:27.390559,998,189,994.84,32089.15
13,2025-11-02,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,835,865,825.1,852,9862,8392334.5,839.9,1010,759,2025-11-02T14:59:55.609268,852,109,850.97,15917.8
14,2025-11-02,172,NABBC,Narayani Development Bank Limited,739.9,825,739.9,816,53163,41839135.8,755,2060,662,2025-11-02T14:59:58.683097,816,261,786.99,4283.47
15,2025-11-02,176,NICL,Nepal Insurance Co. Ltd.,528,534,518,530,10233,5383806.3,520,1064,489.1,2025-11-02T14:59:00.913138,530,85,526.12,13507.45
16,2025-11-02,177,RBCL,Rastriya Beema Company Limited,15000,15000,15000,15000,20,300000,14799.9,18409,14024,2025-11-02T14:56:08.429418,15000,2,15000,39995.47
17,2025-11-02,179,HEI,Himalayan Everest Insurance Limited,490,507,490,505,9039,4540666.6,499.9,722,458,2025-11-02T14:59:53.63006,505,67,502.34,12625.79
18,2025-11-02,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,595,612,590.1,608.5,10788,6499573.7,594,818,570.1,2025-11-02T14:59:41.297698,608.5,73,602.48,15958.75
19,2025-11-02,192,SICL,Shikhar Insurance Co. Ltd.,643,643,633,639,9819,6271618.6,632,905,588.8,2025-11-02T14:59:57.84545,639,76,638.72,18678.6
20,2025-11-02,195,BNL,Bottlers Nepal (Balaju) Limited,15900,15900,15900,15900,10,159000,15918.1,22500,14900,2025-11-02T14:58:37.387889,15900,1,15900,30987.3
21,2025-11-02,204,GUFL,Gurkhas Finance Ltd.,489,528,485,528,40270,20600684.1,480,840,460.6,2025-11-02T14:59:53.191992,528,284,511.56,4583.01
22,2025-11-02,227,BFC,Best Finance Company Ltd.,445,478.9,445,471.5,23596,11025704.4,451,951.6,411.5,2025-11-02T14:59:47.210216,471.5,151,467.27,4198.35
23,2025-11-02,236,PFL,Pokhara Finance Ltd.,389.9,411,385,405,18988,7604167,387,794.9,339.9,2025-11-02T14:59:07.508113,405,162,400.47,4384.35
24,2025-11-02,244,SIFC,Shree Investment Finance Co. Ltd.,490,515,483,512,34290,17311760.1,482.1,728.1,459,2025-11-02T14:59:54.254334,512,157,504.86,5120
25,2025-11-02,255,PRVU,Prabhu  Bank Limited,207,207,201.2,203,88708,18031893.7,203,257,186,2025-11-02T14:59:54.257545,203,310,203.27,47791.25
26,2025-11-02,256,SFCL,Samriddhi Finance Company Limited,387,416.1,387,413,31732,12926095.5,394.6,1117.9,373.1,2025-11-02T14:59:36.521338,413,230,407.35,3382.1
27,2025-11-02,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,430.1,481.5,430.1,481.5,69220,32431561,437.8,735.9,393.1,2025-11-02T14:59:13.858752,481.5,271,468.52,4873.63
28,2025-11-02,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,815,829,815,822,6212,5116318.7,820,1046.5,756.9,2025-11-02T14:59:51.609276,822,51,823.61,13617.46
29,2025-11-02,131,NABIL,Nabil Bank Limited,516.1,516.1,508,511.1,33330,17040192.6,506,579,471,2025-11-02T14:58:58.480624,511.1,357,511.25,138288.32
30,2025-11-02,132,NIMB,Nepal Investment Mega Bank Limited,206.8,206.8,202,204.3,66708,13591272.3,202.8,247,189.2,2025-11-02T14:59:58.085019,204.3,242,203.74,69724.72
31,2025-11-02,134,HBL,Himalayan Bank Limited,199,202.4,198,200,72555,14549372.5,199.5,267,184,2025-11-02T14:59:58.680529,200,2114,200.52,45163.33
32,2025-11-02,139,NICA,NIC Asia Bank Ltd.,327.4,327.5,320.2,323.9,68588,22212479.3,321,464.1,308.7,2025-11-02T14:58:25.089362,323.9,311,323.85,48318
33,2025-11-02,140,MBL,Machhapuchhre Bank Limited,217.2,219.9,213,217,22977,4993222.7,213,290,205,2025-11-02T14:58:08.130245,217,114,217.31,26227.08
34,2025-11-02,141,LSL,Laxmi Sunrise Bank Limited,228.3,228.3,221,224.1,68539,15368597.9,223.9,274,201,2025-11-02T14:59:55.271818,224.1,154,224.23,54560.53
35,2025-11-02,142,KBL,Kumari Bank Limited,190.7,190.7,185,189,141890,26866211.4,187,239.5,175.5,2025-11-02T14:59:58.426629,189,435,189.34,49566.88
36,2025-11-02,152,NHPC,National Hydro Power Company Limited,194,202,194,202,92586,18486884.4,194,254,178.6,2025-11-02T14:59:58.244348,202,305,199.67,4982.2
37,2025-11-02,154,CHCL,Chilime Hydropower Company Limited,514,514,500,503,37649,19002374.2,504,610,456,2025-11-02T14:59:37.098943,503,240,504.72,44175.46
38,2025-11-02,171,SANIMA,Sanima Bank Limited,325.2,325.2,315.5,320,98266,31598186.1,318.9,391,285,2025-11-02T14:59:38.846271,320,240,321.55,43460.88
39,2025-11-02,178,NLICL,National Life Insurance Co. Ltd.,620.8,639,609,637,77326,48152964.4,611.9,738,539,2025-11-02T14:59:58.308215,637,355,622.72,34861.35
40,2025-11-02,180,UAIL,United Ajod Insurance Limited,462,483,444,479,39146,18546126.6,462,767,422.1,2025-11-02T14:59:59.672939,479,265,473.76,11064.9
41,2025-11-02,182,SPIL,Siddhartha Premier Insurance Limited,680,693,680,687,11080,7625110.5,692.9,980.4,625,2025-11-02T14:58:24.293634,687,75,688.18,19281
42,2025-11-02,183,NIL,Neco Insurance Limited,588,602,588,598,8381,5014045.7,589,999,562,2025-11-02T14:59:48.511249,598,137,598.26,16095.36
43,2025-11-02,184,PRIN,Prabhu Insurance Ltd.,660,684,660,684,44450,29872388.7,656.3,1088.8,630,2025-11-02T14:59:53.9877,684,154,672.04,11634.54
44,2025-11-02,186,IGI,IGI Prudential insurance Limited,425.8,438.9,425.8,437,27259,11813618.3,425.8,690.8,392,2025-11-02T14:59:56.790083,437,165,433.38,13238.19
45,2025-11-02,187,NLIC,Nepal Life Insurance Co. Ltd.,798,840,790.2,835.1,188761,154868525.5,787,920,702,2025-11-02T14:59:54.93509,835.1,993,820.44,75399.2
46,2025-11-02,188,LICN,Life Insurance Corporation (Nepal) Limited,840,877,830,874,32953,28345870,832,1606,773,2025-11-02T14:58:45.034133,874,299,860.19,48070
47,2025-11-02,194,NFS,Nepal Finance Ltd.,640,665,640,657.5,29790,19457651.1,638.1,1605,576,2025-11-02T14:59:51.360158,657.5,226,653.16,5516.06
48,2025-11-02,210,CIT,Citizen Investment Trust,1850.1,1870,1850.1,1865,8229,15340081.8,1849.5,2269,1730.8,2025-11-02T14:59:45.034129,1865,167,1864.14,120883.94
49,2025-11-02,213,BNT,Bottlers Nepal (Terai) Limited,11000,11194.9,10852,11000,134,1478029,11000,15289.7,10660,2025-11-02T14:58:48.350529,11000,12,11030.06,13310
50,2025-11-02,219,UNL,Unilever Nepal Limited,48000,48000,48000,48000,10,480000,47500,50724,43800,2025-11-02T12:36:44.266735,48000,1,48000,44193.6
51,2025-11-02,232,GFCL,Goodwill Finance Limited,583,600,583,597,19310,11497186,573.5,1152.3,528.3,2025-11-02T14:59:54.290169,597,144,595.4,5648.31
52,2025-11-02,235,HDL,Himalayan Distillery Limited,1410.5,1410.5,1384,1397,120580,168685144.5,1382.9,1556.1,1136,2025-11-02T14:59:50.853493,1397,1155,1398.94,42935.42
53,2025-11-02,238,NMB,NMB Bank Limited,243.9,244.4,240,242,53253,12845663.7,240.6,283,230,2025-11-02T14:59:56.184883,242,155,241.21,44447.43
54,2025-11-02,245,CFCL,Central Finance Co. Ltd.,485.9,502.8,484,502.8,18994,9410750.4,479,745.9,445.1,2025-11-02T14:59:51.057716,502.8,130,495.45,4770.95
55,2025-11-02,250,JFL,Janaki Finance Company Limited,423,450,423,448,20824,9203088.3,427.2,1083.3,395,2025-11-02T14:59:50.939755,448,150,441.94,3093.32
56,2025-11-02,273,ICFC,ICFC Finance Limited,640,660,635,656,29119,18890893.5,630,821.1,555,2025-11-02T14:59:23.456554,656,167,648.74,7763.57
57,2025-11-02,307,NTC,Nepal Doorsanchar Company Limited,865,881.3,860.1,877,14615,12788944,864.1,1107,762.5,2025-11-02T14:59:56.511378,877,205,875.05,157860
58,2025-11-02,341,GBIME,Global IME Bank Limited,242,243,234,238,236192,56132059.4,246.9,278.9,210.7,2025-11-02T14:59:42.956171,238,735,237.65,90715.73
59,2025-11-02,358,LBBL,Lumbini Bikas Bank Ltd.,503,518,497.1,497.1,236260,120201426.3,504,646.3,376.5,2025-11-02T14:59:58.979894,497.1,679,508.76,18013.3
60,2025-11-02,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,290,295.5,287,293.9,300058,87576545.8,286.9,334,239.3,2025-11-02T14:59:58.723001,293.9,791,291.86,11309.28
61,2025-11-02,393,HLI,Himalayan Life Insurance Limited,380,394.7,372.5,390,103004,39818030.9,376.4,517.9,354.8,2025-11-02T14:59:54.144267,390,551,386.56,35658.63
62,2025-11-02,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,640,665,638,653,18742,12237937.8,640,828.2,600,2025-11-02T14:59:16.089938,653,104,652.96,9127.4
63,2025-11-02,397,ADBL,Agricultural Development Bank Limited,319.7,325.9,313,315,34431,10855529,313.5,377,272.3,2025-11-02T14:59:57.517833,315,214,315.28,43643.96
64,2025-11-02,401,MLBL,Mahalaxmi Bikas Bank Ltd.,386,391,380,386.4,53238,20645124.8,380,488,348.9,2025-11-02T14:59:13.719611,386.4,186,387.78,16601.51
65,2025-11-02,418,JBBL,Jyoti Bikas Bank Limited,324,332.9,324,330.9,44610,14629223.2,327,430.9,295,2025-11-02T14:59:59.10972,330.9,196,327.93,14545.66
66,2025-11-02,471,MPFL,Multipurpose Finance Company  Limited,523.8,550,523.8,549,35292,19085015,518.2,839.4,491,2025-11-02T14:59:35.526767,549,216,540.77,3350
67,2025-11-02,474,MNBBL,Muktinath Bikas Bank Ltd.,376,379.4,372,374.3,68908,25783907.8,372,503,349,2025-11-02T14:59:58.674832,374.3,334,374.17,29945.46
68,2025-11-02,545,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,884,899,870,879,10095,8920963.9,884.7,1159.4,780,2025-11-02T14:59:41.110371,879,87,883.7,6890.7
69,2025-11-02,559,NLG,NLG Insurance Company Ltd.,720,747,720,737,27710,20361886.6,733,1380,660,2025-11-02T14:59:34.060643,737,208,734.82,18905.71
70,2025-11-02,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,877.2,877.2,860.1,875,16768,14627364.3,860,999,780,2025-11-02T14:59:58.977289,875,169,872.33,37735.44
71,2025-11-02,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1463,1469.9,1436,1460,3648,5305403.4,1435,2019,1345,2025-11-02T14:59:31.807479,1460,58,1454.33,3269.42
72,2025-11-02,610,RIDI,Ridi Power Company Limited,228.1,239.1,228,236.5,99424,23384884.8,231.8,302,203.5,2025-11-02T14:58:34.783108,236.5,282,235.2,5494.73
73,2025-11-02,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,990,1055.7,990,1036,1524,1567926.8,994,1367.3,865,2025-11-02T14:58:12.222949,1036,35,1028.82,4575.62
74,2025-11-02,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,12235,12479,12235,12479,27,331140,12484.2,13530,11007.1,2025-11-02T14:56:19.480731,12479,3,12264.44,22166.4
75,2025-11-02,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,915,930,915,917.1,2109,1940176,910,1140,837,2025-11-02T14:36:20.362202,917.1,24,919.95,2933.05
76,2025-11-02,694,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,1016.9,1027,1012,1012,1441,1467362.4,999,1482,950,2025-11-02T14:53:58.881607,1012,36,1018.29,6358.98
77,2025-11-02,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1202.5,1225,1188,1207.5,813,971221,1179,1860.4,1059,2025-11-02T14:59:26.440367,1207.5,29,1194.61,2053.86
78,2025-11-02,697,API,Api Power Company Ltd.,290,295,284,292,185519,53973350.8,284.9,335,246.2,2025-11-02T14:59:59.128896,292,598,290.93,17741.71
79,2025-11-02,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,810,824,794,813,15579,12614205.1,821.8,1000,648,2025-11-02T14:59:42.972882,813,100,809.69,11536.47
80,2025-11-02,2743,NGPL,Ngadi Group Power Ltd.,391,396.2,385,391,495502,193506082.8,388,571,250,2025-11-02T14:59:59.94652,391,962,390.52,14477
81,2025-11-02,2744,GRDBL,Green Development Bank Ltd.,1040,1069,1040,1056.9,14942,15770376.6,1056,2001.4,750.7,2025-11-02T14:59:59.439092,1056.9,147,1055.43,6021.14
82,2025-11-02,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1240.1,1269.9,1230,1269.9,1706,2135826.1,1236.2,1639.5,1161,2025-11-02T14:59:51.480541,1269.9,38,1251.94,16910.1
83,2025-11-02,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,650,672,650,659,15876,10479541.2,650,880,586,2025-11-02T14:59:57.949825,659,130,660.08,6814.49
84,2025-11-02,2751,KKHC,Khanikhola Hydropower Co. Ltd.,274,274,255.8,260,74610,19602746.9,273,475.9,216,2025-11-02T14:59:49.655913,260,284,262.73,2421.71
85,2025-11-02,2754,DHPL,Dibyashwori Hydropower Ltd.,292,304,291.1,301.4,18150,5441649.8,297,427.2,249,2025-11-02T14:59:53.4694,301.4,108,299.81,795.7
86,2025-11-02,274,EDBL,Excel Development Bank Ltd.,592,607.9,590.1,606.5,22372,13495463.9,602,838.2,530.7,2025-11-02T14:58:52.737776,606.5,72,603.23,7579.4
87,2025-11-02,338,PROFL,Progressive Finance Limited,462,500,462,494,32591,15775301.2,462,768,421.4,2025-11-02T14:58:59.624122,494,172,484.03,4229.17
88,2025-11-02,348,CZBIL,Citizens Bank International Limited,210,212.8,209.3,212.1,134705,28477463.5,209.5,247.5,196,2025-11-02T14:59:55.969318,212.1,366,211.4,31325.08
89,2025-11-02,357,PCBL,Prime Commercial Bank Ltd.,239,242.9,235.2,241,28877,6939068,239,291.9,226,2025-11-02T14:59:57.133266,241,102,240.29,46760.21
90,2025-11-02,371,MDB,Miteri Development Bank Limited,572,602.8,570,596,17004,9994447.4,572,843.5,530.5,2025-11-02T14:59:19.798471,596,131,587.77,7253.92
91,2025-11-02,385,ALICL,Asian Life Insurance Co. Limited,485,500,476,499,82692,40482109.5,477,831,430,2025-11-02T14:59:53.649997,499,284,489.55,24955.78
92,2025-11-02,403,SJLIC,SuryaJyoti Life Insurance Company Limited,425,450.7,425,445,68128,29991848,429,520.8,390,2025-11-02T14:59:59.360141,445,359,440.22,22303.17
93,2025-11-02,417,GBBL,Garima Bikas Bank Limited,423.8,425,413.1,415.1,66309,27792589,416,498,378.7,2025-11-02T14:59:41.711794,415.1,263,419.13,23579.83
94,2025-11-02,450,CORBL,Corporate Development Bank Limited,1715,1785,1715,1750,4248,7413218.1,1749,2842.3,950.6,2025-11-02T14:59:59.915794,1750,101,1745.1,9187.5
95,2025-11-02,459,KSBBL,Kamana Sewa Bikas Bank Limited,440,447,433,445.9,57079,25280830.1,438,588,404.1,2025-11-02T14:59:40.87036,445.9,173,442.9,17220.35
96,2025-11-02,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,163,164.9,163,164.9,1601,262911.9,160.4,184.5,147.7,2025-11-02T14:52:44.481084,164.9,4,164.21,30189.13
97,2025-11-02,472,SADBL,Shangrila Development Bank Ltd.,408,420,407,413.9,43769,18145667.2,408,526.5,372.4,2025-11-02T14:59:52.11225,413.9,164,414.57,14719.34
98,2025-11-02,473,SHINE,Shine Resunga Development Bank Ltd.,414,418.2,411,416,33481,13904963.9,410,506,382,2025-11-02T14:59:21.826959,416,121,415.3,20282.92
99,2025-11-02,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,899,956,870,886,112430,99925455.2,885,1038.8,712,2025-11-02T14:59:59.308141,886,362,888.77,11915.56
100,2025-11-02,493,CZBILP,Citizens Bank Internatioal Limited Promoter Share,109,109,109,109,31607,4654007,108,123,102,2025-11-02T14:33:01.345875,109,2,147.24,1.09
101,2025-11-02,516,MFIL,Manjushree Finance Ltd.,586,615,576.2,603,53936,32232251.4,585.9,834,545,2025-11-02T14:59:50.27667,603,273,597.6,8149.86
102,2025-11-02,517,NBL,Nepal Bank Limited,253,256,251,252,61730,15605238.8,251,313,225.4,2025-11-02T14:59:57.977232,252,230,252.79,37028.94
103,2025-11-02,561,SINDU,Sindhu Bikash Bank Ltd,711,739.5,711,724.2,10227,7437704.2,725,1482,608,2025-11-02T14:59:58.124896,724.2,133,727.26,4037.1
104,2025-11-02,564,HBLPO,Himalayan Bank Ltd. Promoter,131,131,131,131,14006217,1665059076.96,131,133,125,2025-11-02T12:12:38.969718,131,15,118.88,11897.08
105,2025-11-02,587,RLFL,Reliance Finance Ltd.,427,451.9,425,451.8,34877,15383556.9,422.9,740,398,2025-11-02T14:59:59.311753,451.8,226,441.08,5066.72
106,2025-11-02,591,SHPC,Sanima Mai Hydropower Ltd.,524.5,536,520,525,146451,77391514.2,523,684.9,438.1,2025-11-02T14:59:59.287122,525,503,528.44,19624.47
107,2025-11-02,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,1010,1043,989.9,1035.4,5590,5727271.5,1010,1270,936.6,2025-11-02T14:54:21.814881,1035.4,124,1024.55,4221.25
108,2025-11-02,686,BARUN,Barun Hydropower Co. Ltd.,324,337,321,332.5,75783,25095550.1,322,589,292.1,2025-11-02T14:59:59.265601,332.5,329,331.15,3563.17
109,2025-11-02,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,773,795,772.7,785.2,1448,1144316,788.4,1008,737,2025-11-02T14:59:40.681795,785.2,21,790.27,5850.06
110,2025-11-02,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,690,691.9,681.1,687,5630,3862954.9,691,876,596,2025-11-02T14:58:46.399072,687,38,686.13,4956.36
111,2025-11-02,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1187,1248,1187,1248,3488,4290028.9,1202,1441.6,1131.9,2025-11-02T14:54:10.708509,1248,62,1229.93,7723.87
112,2025-11-02,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,669,682,669,680,6670,4515216.5,669,897,641.1,2025-11-02T14:59:54.333351,680,71,676.94,7522.75
113,2025-11-02,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,280.5,280.5,273,277.7,155658,43276775,275,340,225.4,2025-11-02T14:59:58.978616,277.7,417,278.02,68202.6
114,2025-11-02,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1102,1124.9,1100,1124.9,4542,5062347.1,1102.9,1552,1046.3,2025-11-02T14:59:22.359808,1124.9,72,1114.56,13453.28
115,2025-11-02,2760,UMHL,United Modi Hydropower Ltd.,530.2,545,530.2,542,73603,39720615.5,535,625,310,2025-11-02T14:59:58.854621,542,280,539.66,6669.31
116,2025-11-02,2766,CHL,Chhyangdi Hydropower Ltd.,256.9,265.4,250,258.2,68113,17584585,251.9,599.7,223.4,2025-11-02T14:59:59.4367,258.2,343,258.16,1998.35
117,2025-11-02,2767,HPPL,Himalayan Power Partner Ltd.,539,539,510.1,518.9,196715,101691866.6,539,711,331.4,2025-11-02T14:59:58.884634,518.9,737,516.95,5528.45
118,2025-11-02,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1355,1389,1348.5,1387.9,2523,3470361.6,1340,1851,1130.2,2025-11-02T14:59:20.574803,1387.9,71,1375.49,5134.17
119,2025-11-02,2769,NHDL,Nepal Hydro Developers Ltd.,698.7,712,685.1,705,3445,2424094.1,685,1002.6,592,2025-11-02T14:59:43.77633,705,50,703.65,2736.79
120,2025-11-02,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,2042,2202,2042,2200,20721,44026831.3,2002.1,2750,1441.2,2025-11-02T14:59:38.674462,2200,255,2124.74,5431.05
121,2025-11-02,2776,RADHI,Radhi Bidyut Company Ltd,782,787,755.1,755.1,317605,245049738.9,767,905.6,322.2,2025-11-02T14:59:54.825608,755.1,1153,771.55,13886.13
122,2025-11-02,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,760,790.5,760,780,3880,3022566.5,775,1067,696,2025-11-02T14:59:04.457768,780,56,779.01,3788.93
123,2025-11-02,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,196.9,199.7,192.9,198.7,57710,11413966.3,194,233.5,172.9,2025-11-02T14:59:55.198002,198.7,258,197.78,3974
124,2025-11-02,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1009,1049.5,1009,1035,2431,2505823.9,1008,1284.9,950,2025-11-02T14:59:34.878482,1035,54,1030.77,3799.94
125,2025-11-02,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1350,1508.1,1350,1508.1,26759,36806412.8,1371,3047,1234.5,2025-11-02T14:59:55.737671,1508.1,296,1375.47,2575.91
126,2025-11-02,2824,HURJA,Himalaya Urja Bikas Company Limited,220,239.8,220,237,191320,44893077,223.8,283.4,204.6,2025-11-02T14:59:42.191932,237,554,234.64,4692.6
127,2025-11-02,2835,NBF2,NABIL BALANCED FUND-2,9.22,9.27,9.22,9.27,7950,73392.5,9.4,11.1,8.86,2025-11-02T14:06:57.324865,9.27,6,9.23,1038.24
128,2025-11-02,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,278,285,275.1,285,6439,1818853.7,280,393.7,267,2025-11-02T14:59:59.565654,285,92,282.47,10402.5
129,2025-11-02,2862,CMF2,CITIZENS MUTUAL FUND 2,8.9,9.23,8.9,9.23,5900,53338,9.05,10.86,8.64,2025-11-02T13:26:22.31336,9.23,5,9.04,516.88
