Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-11-24,132,NIMB,Nepal Investment Mega Bank Limited,197,198,193.9,197.3,83883,16479012.7,195,247,188.8,2025-11-24T14:59:51.561275,197.3,279,196.45,67335.72
2,2025-11-24,134,HBL,Himalayan Bank Limited,184.6,193.3,184.6,192.9,77323,14787439.6,188.3,264.7,184,2025-11-24T14:59:58.987934,192.9,1912,191.24,43560.03
3,2025-11-24,135,SBI,Nepal SBI Bank Limited,399.8,415.8,385,395.9,21841,8611400,392,488,363,2025-11-24T14:59:58.043345,395.9,106,394.27,43149.77
4,2025-11-24,137,EBL,Everest Bank Limited,656,656,649.3,651.2,18874,12295955.3,651.9,780.6,570,2025-11-24T14:59:43.891374,651.2,129,651.47,89353.6
5,2025-11-24,139,NICA,NIC Asia Bank Ltd.,309,316.9,309,316.9,87011,27332755.8,309,444,304.5,2025-11-24T14:59:59.083109,316.9,342,314.12,47273.77
6,2025-11-24,141,LSL,Laxmi Sunrise Bank Limited,233.8,236,232.4,235,125868,29557699.4,232,260.7,201,2025-11-24T14:59:50.252574,235,311,234.83,57214.3
7,2025-11-24,142,KBL,Kumari Bank Limited,181,186.5,181,185.5,180214,33126722.4,180.7,235,175.5,2025-11-24T14:59:46.549894,185.5,483,183.81,48648.97
8,2025-11-24,148,TRH,Taragaon Regency Hotel Limited,705,705,693.1,705,6902,4818716.3,695,1284,681.1,2025-11-24T14:58:58.690292,705,59,698.16,13832.95
9,2025-11-24,153,BPCL,Butwal Power Company Limited,749.7,750.1,721,738,114242,84950116.1,735,1065,375.1,2025-11-24T14:59:56.745232,738,356,743.59,25158.9
10,2025-11-24,154,CHCL,Chilime Hydropower Company Limited,497.2,500,488.5,497,50059,24836745.1,490.7,603.8,456,2025-11-24T14:59:36.198976,497,212,496.14,43648.52
11,2025-11-24,155,STC,Salt Trading Corporation,5480,5525,5426,5460,3998,21851870.1,5419.9,6399,4832,2025-11-24T14:57:53.23919,5460,82,5465.7,17511.15
12,2025-11-24,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,858,882,858,880,15362,13386758.1,855,1010,759,2025-11-24T14:59:31.547813,880,132,871.42,16440.92
13,2025-11-24,172,NABBC,Narayani Development Bank Limited,847,883.3,846.1,883.3,36976,31933888.1,859,2060,662,2025-11-24T14:59:57.752992,883.3,128,863.63,4636.75
14,2025-11-24,176,NICL,Nepal Insurance Co. Ltd.,518.8,538.5,512,535,45855,24112061.1,516,1050,489.1,2025-11-24T14:59:56.149197,535,292,525.83,13634.88
15,2025-11-24,177,RBCL,Rastriya Beema Company Limited,14900,15198,14900,15000,1056,16006535,14810,18409,14024,2025-11-24T14:55:18.179309,15000,36,15157.7,39995.47
16,2025-11-24,178,NLICL,National Life Insurance Co. Ltd.,628,644,617,643.8,135255,85788273.5,618,738,539,2025-11-24T14:59:59.353595,643.8,466,634.27,35233.5
17,2025-11-24,179,HEI,Himalayan Everest Insurance Limited,498,508.9,495,507,17227,8663727.5,489.5,710,458,2025-11-24T14:59:56.898488,507,104,502.91,12675.8
